 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,-29.0,97620.335,41066.005,16486.55,10751.395,9445.675,8596.295,7752.335,3522.08,0.0,0.0,0.0,0.0,97620.335,1,0,1.0,0.0,,,,,,,,,0.0,6009163584.915001,,0.0,6009163584.915001,,0.0,0.0,6009163584.915001,6009163584.915001,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,-28.0,98468.435,43914.465,16187.905,9633.69,8662.67,8518.685,7945.75,3605.27,0.0,0.0,0.0,0.0,98468.435,1,0,0.042800506,0.0,,,,,,,,,0.0,5881191636.375,,0.0,5881191636.375,,0.0,0.0,5881191636.375,5881191636.375,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,-27.0,97377.8,43144.03,17422.87,9559.33,7811.775,7840.17,7894.535,3705.09,0.0,0.001981784,0.003963568,0.0,97377.8,1,0,0.071844564,0.0,,,,,,,,,0.0,5701844378.755,,0.0,5701844378.755,,0.0,0.0,5701844378.755,5701844378.755,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,-26.0,95667.055,42092.79,17265.89,10414.78,7820.175,7100.11,7283.705,3689.605,0.0,0.006977341,0.013954676,0.0,95667.055,1,0,0.095697284,0.0,,,,,,,,,0.0,5533039748.045001,,0.0,5533039748.045001,,0.0,0.0,5533039748.045001,5533039748.045001,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,-25.0,94323.83,41132.965,16999.73,10440.595,8592.525,7137.365,6613.31,3407.34,0.0,0.015832971,0.03166594,2.6e-06,94323.83,1,0,0.117549765,0.0,,,,,,,,,0.0,5462074028.005,,0.0,5462074028.005,,0.0,0.0,5462074028.005,5462074028.005,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,-24.0,93937.285,40733.135,16653.88,10326.785,8634.93,7844.995,6651.275,3092.285,0.0,0.028132294,0.056264589,1.58e-05,93937.285,1,0,0.137118225,9.45e-08,,,,,,,,,0.0,5508089194.09,,0.0,5508089194.09,,0.0,0.0,5508089194.09,5508089194.09,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,-23.0,94361.615,40988.49,16479.425,10077.22,8522.665,7876.735,7307.725,3109.355,0.0,0.042657229,0.08531445,5.78e-05,94361.615,1,0,0.14803184,2.81e-07,,,,,,,,,0.0,5589644879.765,,0.0,5589644879.765,,0.0,0.0,5589644879.765,5589644879.765,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,-22.0,94575.71,41369.99,16508.055,9907.075,8282.08,7764.365,7325.225,3418.92,0.0,0.055920468,0.111840935,0.000133434,94575.71,1,0,0.10935543,1.03e-06,,,,,,,,,0.0,5589279050.945,,0.0,5589279050.945,,0.0,0.0,5589279050.945,5589279050.945,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,-21.0,94098.12,41181.89,16649.885,9939.855,8145.18,7541.14,7220.425,3419.745,0.0,0.065700782,0.13140156,0.000275296,94098.12,1,0,0.092168461,4.63e-06,,,,,,,,,0.0,5525274334.315001,,0.0,5525274334.315001,,0.0,0.0,5525274334.315001,5525274334.315001,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,-20.0,93368.07,40643.82,16638.365,10065.5,8195.995,7428.32,7021.815,3374.255,0.0,0.07406632,0.148132645,0.000499158,93368.07,1,0,0.084996638,1.3e-05,,,,,,,,,0.0,5477602309.415,,0.0,5477602309.415,,0.0,0.0,5477602309.415,5477602309.415,
