 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,29993.16583,10703.91457,4174.899497,2228.301508,1661.356784,1400.984925,1206.306533,1044.613065,911.9949749,793.0603015,695.2512563,609.9246231,4562.557789,0.0,0.0,0.0,-29,48857.95477,21185.86432,8700.497487,5256.758794,4344.708543,3975.175879,3685.582915,1709.366834,0,0.0,0.0,0.0,78851.1206,1.0,0.0,1.0,0.0,,,,,,,,,4929796502.53315,2877601282.529063,,2957877901.51989,5835479184.048953,,4929796502.53315,2957877901.51989,2877601282.529063,5835479184.048953,
,30525.42211,11492.19095,3901.603015,2294.81407,1680.59799,1388.286432,1200.321608,1041.105528,904.4070352,792.7035176,689.5678392,606.0753769,4533.748744,0.0,0.0,0.0,-28,47969.24121,20736.03015,8564.221106,5193.738693,4240.165829,3888.417085,3647.909548,1698.758794,0,0.0,0.0,0.0,78494.66332,0.063882859,0.0,0.059834057,0.0,,,,,,,,,4919820408.170042,2830590077.41938,,2951892244.902025,5782482322.321405,,4919820408.170042,2951892244.902025,2830590077.41938,5782482322.321405,
,30681.60804,11463.63317,4165.100503,2158.939698,1743.834171,1409.592965,1193.437186,1040.281407,906.2763819,788.3718593,691.8693467,601.9648241,4518.306533,0.002772387,0.005544774,0.0,-27,47229.92462,20455.62312,8338.502513,5142.321608,4211.422111,3814.075377,3580.276382,1687.703518,0,0.002815585,0.00563117,0.0,77911.53266,0.084970778,0.0,0.095760521,0.0,,,,,,,,,4927803284.394358,2789696131.875721,,2956681970.6366143,5746378102.512335,,4927803284.394358,2956681970.6366143,2789696131.875721,5746378102.512335,
,30812.05025,11499.50754,4156.472362,2291.628141,1644.613065,1466.522613,1212.653266,1036.316583,904.678392,791.8693467,689.0954774,606.3115578,4512.38191,0.007097415,0.014194831,0.000192972,-26,46547.20603,20185.08543,8229.603015,4988.286432,4179.261307,3792.572864,3514.562814,1657.834171,0,0.009596786,0.019193574,0.0,77359.25628,0.093304421,0.0,0.125856714,0.0,,,,,,,,,4944329458.815552,2749676062.867393,,2966597675.289331,5716273738.156724,,4944329458.815552,2966597675.289331,2749676062.867393,5716273738.156724,
,30945.94975,11535.9799,4175.688442,2289.246231,1739.452261,1382.135678,1262.175879,1051.954774,902.4723618,790.8241206,693.678392,604.0100503,4518.331658,0.012168487,0.02433698,0.000612516,-25,45865.42714,19894.80402,8111.61809,4925.38191,4048.552764,3764.633166,3494.231156,1626.20603,0,0.021234527,0.042469045,2.43e-05,76811.37688,0.098632788,2.19e-05,0.153959402,3.3e-06,,,,,,,,,4966647064.431785,2709787504.888158,,2979988238.6590705,5689775743.547228,,4966647064.431785,2979988238.6590705,2709787504.888158,5689775743.547228,
,31078.85427,11565.0402,4190.040201,2307.502513,1738.371859,1460.809045,1189.201005,1094.351759,916.5075377,789.120603,693.1306533,608.6884422,4526.090452,0.017608307,0.03521661,0.001212755,-24,45226.40704,19611.91457,8022.065327,4858.628141,4001.643216,3642.944724,3469.160804,1620.050251,0,0.036762989,0.073525978,0.00012202,76305.26131,0.103039408,8.47e-05,0.181543266,1.51e-05,,,,,,,,,4993093725.005938,2669963036.0039406,,2995856235.0035625,5665819271.0075035,,4993093725.005938,2995856235.0035625,2669963036.0039406,5665819271.0075035,
,31219.62814,11595.92965,4203.040201,2316.613065,1759.778894,1460.58794,1258.190955,1031.683417,953.6030151,801.4422111,692.4170854,609.6080402,4536.733668,0.023525589,0.04705117,0.001913267,-23,44514.21106,19278.8794,7900.366834,4818.748744,3948.502513,3601.703518,3357.562814,1608.447236,0,0.055478874,0.110957744,0.000402161,75733.8392,0.108778477,0.000164098,0.196790025,4.2e-05,,,,,,,,,5023139728.081186,2627142743.937685,,3013883836.8487115,5641026580.786396,,5023139728.081186,3013883836.8487115,2627142743.937685,5641026580.786396,
,31365.79899,11632.42714,4222.954774,2329.562814,1763.015075,1477.909548,1256.170854,1090.929648,899.3969849,834.4321608,702.4472362,608.8040201,4547.748744,0.030559909,0.061119814,0.002770054,-22,43726.80402,18847.33166,7779.005025,4745.688442,3919.974874,3555.497487,3319.854271,1559.452261,0,0.072453883,0.144907759,0.000961895,75092.60302,0.052980552,0.000334772,0.144148568,9.68e-05,,,,,,,,,5052016137.305442,2589255358.595698,,3031209682.383265,5620465040.978963,,5052016137.305442,3031209682.383265,2589255358.595698,5620465040.978963,
,31484.08543,11627.8191,4248.135678,2338.507538,1775.311558,1483.045226,1273.58794,1091.864322,950.8994975,786.4623116,732.1809045,618.1859296,4558.085427,0.036469849,0.072939696,0.00376867,-21,42909.38693,18403.09045,7611.296482,4678.889447,3863.773869,3530.045226,3280.221106,1542.070352,0,0.083545393,0.167090794,0.001988794,74393.47236,0.047729183,0.000501694,0.117857281,0.000174055,,,,,,,,,5083408071.27453,2555152207.6493883,,3050044842.764718,5605197050.414106,,5083408071.27453,3050044842.764718,2555152207.6493883,5605197050.414106,
,31624.10553,11661.69849,4254.894472,2357.954774,1783.487437,1492.115578,1275.884422,1105.522613,952.3467337,831.7638191,689.4572864,642.7487437,4576.231156,0.043286202,0.086572399,0.004779136,-20,42072.58794,17982.55276,7442.643216,4580.949749,3809.145729,3482.768844,3255.894472,1518.633166,0,0.091851789,0.183703558,0.003572673,73696.69347,0.056758698,0.000803196,0.100847338,0.000287944,,,,,,,,,5113330316.484783,2517300362.458844,,3067998189.8908696,5585298552.349714,,5113330316.484783,3067998189.8908696,2517300362.458844,5585298552.349714,
,31716.98995,11647.57286,4269.567839,2362.502513,1797.246231,1500.61809,1285.693467,1107.055276,963.160804,832.9949749,729.9447236,606.4221106,4614.211055,0.05188927,0.103778539,0.005969825,-19,41140.84422,17492.54774,7270.61809,4485.356784,3733.663317,3432.944724,3212.994975,1512.718593,0,0.097076158,0.194152266,0.005567938,72857.83417,0.071936564,0.001158624,0.088636183,0.00045671,,,,,,,,,5142821977.147726,2475790046.685009,,3085693186.2886357,5561483232.973644,,5142821977.147726,3085693186.2886357,2475790046.685009,5561483232.973644,
,31784.65327,11639.72362,4257.698492,2371.809045,1803.81407,1510.482412,1290.537688,1115.311558,965.6532663,842.0201005,730.9798995,641.2663317,4615.356784,0.062365855,0.124731749,0.007234717,-18,40241.72362,17083.62312,7084.673367,4382.512563,3660.713568,3369.623116,3167.20603,1493.371859,0,0.09915454,0.198309075,0.007848768,72026.37688,0.088981098,0.001615203,0.079780237,0.000694704,,,,,,,,,5168931741.575164,2429560155.369741,,3101359044.9450984,5530919200.314839,,5168931741.575164,3101359044.9450984,2429560155.369741,5530919200.314839,
,31812.15578,11587.25628,4257.311558,2367.175879,1810.492462,1518.045226,1300.065327,1122.025126,972.7688442,845.9949749,738.8140704,642.7085427,4649.497487,0.07401301,0.14802604,0.008781857,-17,39297.82412,16643.58291,6912.256281,4278.944724,3577.095477,3303.497487,3110.909548,1471.537688,0,0.098320311,0.196640628,0.010151678,71109.9799,0.105443683,0.002242656,0.085035122,0.001045184,,,,,,,,,5195245988.339754,2379466460.275157,,3117147593.0038524,5496614053.279009,,5195245988.339754,3117147593.0038524,2379466460.275157,5496614053.279009,
,31836.21106,11528.24623,4263.638191,2376.547739,1806.763819,1523.628141,1308.105528,1129.145729,978.2914573,851.6582915,742.7135678,649.3969849,4678.075377,0.086227807,0.172455618,0.010672693,-16,38400.17085,16235.46231,6752.768844,4188.055276,3501.231156,3229.648241,3049.020101,1443.984925,0,0.09818177,0.196363538,0.012040835,70236.38191,0.119903281,0.003026099,0.101618803,0.001546217,,,,,,,,,5218894875.591144,2328834645.6362443,,3131336925.3546863,5460171570.990931,,5218894875.591144,3131336925.3546863,2328834645.6362443,5460171570.990931,
,31826.1407,11452.03015,4247.447236,2384.095477,1820.58794,1523.356784,1309.688442,1134.552764,984.3065327,855.1758794,748.2261307,653.6180905,4713.055276,0.098047471,0.19609493,0.01289413,-15,37495.78894,15811.53266,6591.527638,4102.773869,3428.668342,3162.070352,2981.819095,1417.396985,0,0.100612443,0.201224905,0.01337176,69321.92965,0.131357638,0.003934903,0.11604592,0.002211288,,,,,,,,,5241845314.658473,2279083872.1278048,,3145107188.7950835,5424191060.922888,,5241845314.658473,3145107188.7950835,2279083872.1278048,5424191060.922888,
,31790.58794,11370.41206,4224.748744,2383.21608,1826.045226,1530.909548,1312.060302,1136.658291,989.2613065,861.7889447,750.9346734,658.0251256,4746.527638,0.109137442,0.218274874,0.015266477,-14,36671.86935,15458.07035,6438.693467,4002.909548,3362.854271,3099.909548,2925.120603,1384.311558,0,0.103384731,0.206769538,0.01436393,68462.45729,0.140432025,0.005129127,0.128667749,0.002982704,,,,,,,,,5261868612.866804,2231465641.555305,,3157121167.7200823,5388586809.275387,,5261868612.866804,3157121167.7200823,2231465641.555305,5388586809.275387,
,31718.77387,11265.77387,4201.075377,2369.452261,1828.929648,1539.869347,1318.60804,1137.361809,991.4221106,865.2713568,755.9246231,661.1758794,4783.909548,0.11940093,0.238801899,0.017663883,-13,35894.83417,15115.23618,6304.261307,3921.61809,3290.135678,3041.256281,2865.090452,1357.236181,0,0.106398522,0.212797101,0.015096984,67613.60804,0.14886909,0.0062089,0.139184095,0.003900448,,,,,,,,,5279917131.625216,2185968997.396326,,3167950278.975129,5353919276.371455,,5279917131.625216,3167950278.975129,2185968997.396326,5353919276.371455,
,31637.66332,11170.11558,4168.98995,2363.79397,1820.537688,1541.015075,1327.592965,1144.502513,991.8291457,867.3065327,758.6331658,664.6884422,4818.658291,0.128841256,0.257682417,0.020034142,-12,35117.75879,14759.39698,6165.020101,3849.673367,3220.542714,2979.120603,2813.59799,1330.407035,0,0.109875653,0.219751347,0.015630935,66755.42211,0.156863779,0.007314122,0.148587794,0.004874609,,,,,,,,,5293938784.75795,2142203316.1984007,,3176363270.8547697,5318566587.05317,,5293938784.75795,3176363270.8547697,2142203316.1984007,5318566587.05317,
,31556.85427,11073.8995,4147.944724,2351.743719,1816.81407,1536.552764,1328.979899,1152.226131,996.959799,867.6532663,762.959799,666.1105528,4855.01005,0.137784432,0.275568804,0.022231411,-11,34380.29146,14430.59799,6032.015075,3765.613065,3166.638191,2917.678392,2754.673367,1313.075377,0,0.114008754,0.228017447,0.016326339,65937.14573,0.165083975,0.008357197,0.15724302,0.005845556,,,,,,,,,5306179901.83263,2100412618.140208,,3183707941.099578,5284120559.239786,,5306179901.83263,3183707941.099578,2100412618.140208,5284120559.239786,
,31445.78894,10962.94472,4125.582915,2340.919598,1809.286432,1530.753769,1325.120603,1154.582915,1003.316583,871.7336683,761.638191,670.8994975,4889.01005,0.146588075,0.293176161,0.02425488,-10,33660.77889,14100.52764,5905.633166,3697.733668,3103.100503,2870.01005,2700.286432,1283.487437,0,0.119117854,0.238235648,0.017098926,65106.56784,0.175244503,0.00923072,0.166092759,0.006690739,,,,,,,,,5313459794.107038,2059591301.1108987,,3188075876.4642224,5247667177.575121,,5313459794.107038,3188075876.4642224,2059591301.1108987,5247667177.575121,
