 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,29979.31156,10702.91457,4169.809045,2225.748744,1665.020101,1397.542714,1207.21608,1046.100503,910.5427136,793.7236181,693.9447236,607.1457286,4559.603015,0.0,0.0,0.0,-29,48826.22111,21164.81407,8687.668342,5254.487437,4346.341709,3975.226131,3687.819095,1709.864322,0,0.0,0.0,0.0,78805.53266,1.0,0.0,1.0,0.0,,,,,,,,,4927104329.8414,2877543391.471364,,2956262597.90484,5833805989.376204,,4927104329.8414,2956262597.90484,2877543391.471364,5833805989.376204,
,30528.39698,11498.49246,3908.819095,2290.457286,1679.81407,1389.98995,1196.753769,1042.095477,906.3668342,790.9698492,691.1708543,605.1155779,4528.351759,0.0,0.0,0.0,-28,47970.78894,20738.89447,8564.005025,5190.165829,4241.261307,3888.984925,3646.527638,1700.949749,0,0.0,0.0,0.0,78499.18593,0.121078628,0.0,0.113100523,0.0,,,,,,,,,4917658838.987141,2830714822.705866,,2950595303.3922844,5781310126.09815,,4917658838.987141,2950595303.3922844,2830714822.705866,5781310126.09815,
,30703.34171,11484.0,4169.100503,2165.407035,1738.361809,1411.346734,1194.316583,1035.145729,906.7286432,790.1407035,690.8542714,604.5376884,4513.40201,0.005329446,0.010658889,0.0,-27,47234.56784,20443.09548,8356.517588,5148.180905,4211.472362,3811.653266,3578.79397,1684.854271,0,0.005297406,0.010594814,0.0,77937.90955,0.160739186,0.0,0.18134291,0.0,,,,,,,,,4926692675.733122,2789434759.559937,,2956015605.439873,5745450364.99981,,4926692675.733122,2956015605.439873,2789434759.559937,5745450364.99981,
,30815.90452,11500.81407,4163.829146,2290.849246,1647.050251,1462.507538,1216.095477,1036.839196,901.0351759,791.0552764,692.4924623,604.9045226,4508.432161,0.013978018,0.027956039,0.000437566,-26,46543.83417,20170.07035,8221.904523,5004.160804,4185.502513,3791.266332,3513.005025,1657.924623,0,0.018128367,0.036256731,0.0,77359.73869,0.176779749,1.68e-06,0.238539884,0.0,,,,,,,,,4943165441.47389,2750808305.663983,,2965899264.884334,5716707570.548317,,4943165441.47389,2965899264.884334,2750808305.663983,5716707570.548317,
,30944.22613,11529.53769,4181.276382,2295.467337,1738.150754,1382.788945,1259.105528,1056.834171,903.1507538,786.9296482,693.0050251,606.2914573,4511.688442,0.024530781,0.049061561,0.0014154,-25,45908.18593,19917.45226,8119.492462,4916.899497,4060.140704,3769.21608,3494.613065,1630.371859,0,0.040092439,0.080184873,4.16e-05,76852.41206,0.18685596,3.83e-05,0.29169399,9.46e-06,,,,,,,,,4965462045.741838,2712518917.134187,,2979277227.445103,5691796144.57929,,4965462045.741838,2979277227.445103,2712518917.134187,5691796144.57929,
,31072.66834,11555.01005,4194.150754,2306.351759,1743.698492,1459.517588,1190.035176,1092.723618,919.2964824,789.7487437,690.3366834,609.1909548,4522.60804,0.03650428,0.073008555,0.002828062,-24,45241.31658,19603.37186,8026.432161,4865.924623,3996.557789,3654.788945,3474.859296,1619.38191,0,0.069296222,0.138592452,0.000225033,76313.98492,0.19670203,0.000156738,0.343342206,2.8e-05,,,,,,,,,4992835074.233567,2672571772.336068,,2995701044.54014,5668272816.876208,,4992835074.233567,2995701044.54014,2672571772.336068,5668272816.876208,
,31166.79397,11553.78392,4200.361809,2313.788945,1754.723618,1465.944724,1256.120603,1032.18593,953.5527638,804.5025126,692.3115578,605.9145729,4533.603015,0.050226456,0.100452912,0.00461929,-23,44447.90452,19191.8593,7899.894472,4819.58794,3955.336683,3598.507538,3370.065327,1612.653266,0,0.103998348,0.207996683,0.000721899,75614.69849,0.209738025,0.000334114,0.372404387,6.88e-05,,,,,,,,,5020367574.214422,2629547815.6620593,,3012220544.528653,5641768360.190712,,5020367574.214422,3012220544.528653,2629547815.6620593,5641768360.190712,
,31240.93467,11540.25126,4212.346734,2321.874372,1757.351759,1473.668342,1261.100503,1088.628141,899.7035176,833.7135678,705.1708543,608.6030151,4538.522613,0.066518661,0.133037312,0.006743102,-22,43489.95477,18642.70854,7739.01005,4741.306533,3919.236181,3565.603015,3318.984925,1563.105528,0,0.13469195,0.269383874,0.001751996,74730.88945,0.11118591,0.000764124,0.277804663,0.000190072,,,,,,,,,5044347625.219894,2587895872.9256983,,3026608575.1319366,5614504448.057634,,5044347625.219894,3026608575.1319366,2587895872.9256983,5614504448.057634,
,31295.10553,11500.49749,4215.422111,2332.59799,1767.572864,1478.105528,1267.371859,1095.190955,949.9045226,787.9396985,732.0603015,619.1306533,4549.311558,0.082008099,0.164016176,0.009330762,-21,42447.23116,18052.72864,7521.025126,4653.889447,3861.366834,3532.894472,3288.020101,1537.306533,0,0.15525005,0.31050009,0.00378687,73742.33668,0.108036022,0.001246463,0.233507342,0.000373206,,,,,,,,,5071453176.2255945,2548223535.589459,,3042871905.735357,5591095441.324816,,5071453176.2255945,3042871905.735357,2548223535.589459,5591095441.324816,
,31280.32161,11413.42714,4203.718593,2336.361809,1775.884422,1485.577889,1271.688442,1100.306533,954.5929648,832.3567839,691.919598,642.8894472,4571.59799,0.099363609,0.198727146,0.011977827,-20,41382.77387,17497.49749,7299.979899,4525.984925,3789.155779,3482.663317,3258.98995,1528.502513,0,0.17121009,0.342420201,0.00697482,72663.09548,0.133466965,0.001885736,0.208243427,0.000633461,,,,,,,,,5096000109.149195,2504518643.108462,,3057600065.4895167,5562118708.597979,,5096000109.149195,3057600065.4895167,2504518643.108462,5562118708.597979,
