 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,29984.24623,10692.05025,4187.532663,2223.819095,1662.38191,1400.120603,1205.522613,1045.01005,910.6834171,793.7537688,694.3115578,608.8492462,4560.211055,0.0,0.0,0.0,-29,48840.0,21170.50251,8701.125628,5249.613065,4346.21608,3974.693467,3684.668342,1713.180905,0,0.0,0.0,0.0,78824.24623,1.0,0.0,1.0,0.0,,,,,,,,,4927829681.704013,2877567344.2271233,,2956697809.0224075,5834265153.249531,,4927829681.704013,2956697809.0224075,2877567344.2271233,5834265153.249531,
,30541.52764,11505.9799,3897.683417,2304.030151,1678.38191,1389.005025,1199.035176,1042.809045,905.3015075,792.1356784,691.1055276,605.321608,4530.738693,0.0,0.0,0.0,-28,47962.94472,20735.40201,8557.713568,5200.422111,4236.356784,3889.311558,3644.296482,1699.442211,0,0.0,0.0,0.0,78504.47236,0.093186609,0.0,0.087145859,0.0,,,,,,,,,4920355516.792295,2830064309.4792433,,2952213310.075377,5782277619.554621,,4920355516.792295,2952213310.075377,2830064309.4792433,5782277619.554621,
,30709.30151,11483.44221,4171.633166,2157.894472,1750.753769,1408.386935,1192.984925,1037.527638,906.321608,788.5477387,691.3115578,604.8140704,4515.683417,0.00408925,0.008178499,0.0,-27,47205.82412,20421.55779,8344.40201,5144.81407,4221.040201,3807.170854,3576.844221,1689.994975,0,0.004074167,0.008148335,0.0,77915.12563,0.124346573,0.0,0.139629889,0.0,,,,,,,,,4928617098.180024,2789691897.476205,,2957170258.9080143,5746862156.384219,,4928617098.180024,2957170258.9080143,2789691897.476205,5746862156.384219,
,30808.89447,11491.84422,4159.125628,2297.371859,1640.40201,1470.005025,1211.266332,1035.854271,903.2211055,791.758794,689.0301508,604.959799,4514.055276,0.010909875,0.021819749,4.53e-05,-26,46542.95477,20189.35176,8209.572864,4994.361809,4181.110553,3801.276382,3508.532663,1658.748744,0,0.013987729,0.027975454,0.0,77351.84925,0.136630166,0.0,0.183641201,0.0,,,,,,,,,4944148518.135202,2750312147.5342407,,2966489110.881121,5716801258.415361,,4944148518.135202,2966489110.881121,2750312147.5342407,5716801258.415361,
,30948.72362,11549.31658,4167.140704,2288.974874,1743.070352,1379.899497,1264.306533,1051.276382,901.3919598,790.0603015,692.8291457,603.7788945,4516.678392,0.019647698,0.039295397,0.000175359,-25,45903.03015,19916.03015,8125.758794,4917.155779,4049.788945,3765.874372,3503.904523,1624.517588,0,0.030861112,0.061722224,5.69e-06,76851.75377,0.144877643,4.66e-06,0.224982015,5.8e-07,,,,,,,,,4965484941.094367,2711448450.795544,,2979290964.65662,5690739415.452164,,4965484941.094367,2979290964.65662,2711448450.795544,5690739415.452164,
,31093.72362,11580.87437,4198.18593,2298.060302,1739.924623,1464.211055,1187.0,1097.261307,916.5929648,787.0904523,692.5628141,608.0452261,4523.914573,0.029880285,0.059760574,0.00037457,-24,45257.60302,19628.74372,8019.884422,4875.39196,3991.809045,3645.356784,3471.376884,1625.040201,0,0.053637637,0.107275241,2.84e-05,76351.32663,0.153780503,2.1e-05,0.265585874,3.53e-06,,,,,,,,,4992352456.515788,2671627225.118481,,2995411473.909473,5667038699.027954,,4992352456.515788,2995411473.909473,2671627225.118481,5667038699.027954,
,31227.9799,11607.13065,4212.251256,2314.547739,1746.562814,1463.005025,1260.522613,1031.286432,958.5276382,802.1055276,690.6482412,608.919598,4532.472362,0.042041791,0.084083582,0.000678187,-23,44491.1608,19236.8392,7909.648241,4812.603015,3965.080402,3594.030151,3360.884422,1612.075377,0,0.08102905,0.16205809,8.98e-05,75719.1407,0.165105573,4.3e-05,0.289137709,1.09e-05,,,,,,,,,5021273924.401823,2628627823.1681333,,3012764354.6410937,5641392177.809227,,5021273924.401823,3012764354.6410937,2628627823.1681333,5641392177.809227,
,31373.46734,11640.89447,4228.512563,2331.537688,1763.0,1468.798995,1257.969849,1093.160804,898.6331658,837.6281407,703.241206,605.9698492,4544.120603,0.056996281,0.113992548,0.001020971,-22,43675.42714,18806.52764,7762.286432,4747.21608,3912.487437,3570.974874,3312.703518,1563.231156,0,0.105927029,0.21185402,0.000223288,75048.89447,0.090633971,9.34e-05,0.217425312,3.15e-05,,,,,,,,,5050201829.899746,2589434259.645337,,3030121097.9398475,5619555357.585184,,5050201829.899746,3030121097.9398475,2589434259.645337,5619555357.585184,
,31482.75377,11634.65327,4244.241206,2343.105528,1777.678392,1481.879397,1265.281407,1091.256281,952.4271357,786.201005,734.8040201,618.1457286,4553.080402,0.072170328,0.144340668,0.001494959,-21,42820.92462,18331.47236,7594.869347,4671.286432,3866.125628,3525.487437,3294.110553,1537.572864,0,0.123549774,0.247099482,0.000476467,74303.67839,0.091936463,0.00017703,0.185539085,5.05e-05,,,,,,,,,5080855499.256662,2554612800.6821218,,3048513299.5539975,5603126100.236119,,5080855499.256662,3048513299.5539975,2554612800.6821218,5603126100.236119,
,31544.41206,11598.35176,4247.211055,2350.698492,1790.457286,1494.899497,1274.98995,1096.452261,951.4974874,832.6080402,690.718593,646.9095477,4569.61809,0.090054264,0.180108528,0.002011703,-20,41957.98995,17908.55276,7407.366834,4572.698492,3805.286432,3485.316583,3251.477387,1527.291457,0,0.138169563,0.27633905,0.000866912,73502.40201,0.11708399,0.000277213,0.169067729,9.67e-05,,,,,,,,,5109531768.929462,2515664312.440678,,3065719061.3576775,5581383373.798355,,5109531768.929462,3065719061.3576775,2515664312.440678,5581383373.798355,
,31529.27136,11505.11055,4242.110553,2355.19598,1792.366834,1505.743719,1286.236181,1106.361809,956.0301508,831.2512563,730.0502513,607.9145729,4610.899497,0.111219432,0.222438859,0.002661936,-19,41059.07538,17464.29648,7247.341709,4464.668342,3726.38191,3431.79397,3216.286432,1508.306533,0,0.149651276,0.299302492,0.001423772,72588.34673,0.153024055,0.000409269,0.162311618,0.000151558,,,,,,,,,5134345804.683807,2472075898.3839717,,3080607482.810284,5552683381.194256,,5134345804.683807,3080607482.810284,2472075898.3839717,5552683381.194256,
,31445.1206,11374.06533,4211.688442,2361.231156,1796.045226,1506.035176,1297.457286,1115.59799,964.8040201,836.7487437,728.5376884,641.7537688,4611.155779,0.135476492,0.270952955,0.003347645,-18,40142.13065,17032.54271,7068.798995,4374.517588,3642.442211,3361.859296,3168.738693,1493.231156,0,0.157922211,0.315844407,0.002030347,71587.25126,0.192759322,0.000568198,0.162612834,0.000231702,,,,,,,,,5154887642.744091,2424815927.0928373,,3092932585.6464543,5517748512.739292,,5154887642.744091,3092932585.6464543,2424815927.0928373,5517748512.739292,
,31242.67337,11147.55276,4175.20603,2345.949749,1803.201005,1512.552764,1296.286432,1127.296482,972.2613065,843.6331658,732.919598,639.8894472,4645.924623,0.161622,0.323244,0.004157818,-17,39271.82915,16650.19598,6910.20603,4272.984925,3573.351759,3287.336683,3103.090452,1474.663317,0,0.162806975,0.325613965,0.002714887,70514.50251,0.233268523,0.000789631,0.184853578,0.000352874,,,,,,,,,5171412917.89056,2375300214.052492,,3102847750.734336,5478147964.786828,,5171412917.89056,3102847750.734336,2375300214.052492,5478147964.786828,
,30935.20101,10886.56281,4092.889447,2328.075377,1787.974874,1517.437186,1302.522613,1122.859296,983.1055276,851.3417085,739.9095477,643.798995,4678.723618,0.188061955,0.376123894,0.005006419,-16,38304.84925,16156.27638,6760.502513,4185.552764,3496.929648,3229.155779,3036.366834,1440.065327,0,0.169249799,0.338499568,0.003294286,69240.05025,0.270145678,0.001083812,0.224176141,0.000497274,,,,,,,,,5178834537.599556,2324798222.5963864,,3107300722.5597334,5432098945.15612,,5178834537.599556,3107300722.5597334,2324798222.5963864,5432098945.15612,
,30499.22111,10541.77387,4013.472362,2288.924623,1778.773869,1503.522613,1304.261307,1128.472362,976.4221106,859.2763819,746.2160804,650.0251256,4708.080402,0.213605015,0.427210015,0.005920644,-15,37298.69347,15633.36683,6578.361809,4102.261307,3430.201005,3159.844221,2984.326633,1410.331658,0,0.178763804,0.357527558,0.003872973,67797.91457,0.302825573,0.001439995,0.261535814,0.000705557,,,,,,,,,5172930462.941143,2276141692.67315,,3103758277.7646856,5379899970.437836,,5172930462.941143,3103758277.7646856,2276141692.67315,5379899970.437836,
,29953.75377,10161.36181,3895.839196,2246.105528,1752.070352,1493.768844,1290.778894,1130.01005,981.5628141,853.5025126,752.1256281,654.9296482,4741.698492,0.237255844,0.474511704,0.006998803,-14,36260.62814,15102.13065,6370.678392,4005.281407,3369.58794,3105.442211,2921.165829,1386.341709,0,0.188943658,0.377887246,0.004376185,66214.38191,0.333340437,0.001879721,0.296126085,0.000957121,,,,,,,,,5154381433.412334,2227875241.352937,,3092628860.0474005,5320504101.400337,,5154381433.412334,3092628860.0474005,2227875241.352937,5320504101.400337,
,29316.36683,9749.768844,3767.21608,2184.492462,1717.979899,1472.125628,1284.723618,1118.256281,982.4623116,857.2261307,747.7839196,660.5929648,4773.738693,0.259136874,0.518273704,0.008058554,-13,35241.46231,14600.62814,6167.864322,3893.683417,3294.336683,3050.949749,2873.040201,1360.959799,0,0.199771,0.39954199,0.004853704,64557.82915,0.362643457,0.002225029,0.328018598,0.00124035,,,,,,,,,5122384351.368494,2179366928.011572,,3073430610.8210964,5252797538.832668,,5122384351.368494,3073430610.8210964,2179366928.011572,5252797538.832668,
,28595.66834,9312.336683,3626.040201,2120.472362,1675.316583,1443.472362,1264.070352,1111.105528,972.2914573,858.1005025,748.6633166,656.2361809,4807.562814,0.279543407,0.559086844,0.009043528,-12,34246.64322,14106.69849,5989.070352,3783.648241,3212.261307,2988.567839,2825.497487,1340.899497,0,0.211133156,0.422266302,0.005292496,62842.31156,0.392165849,0.002592541,0.358211804,0.001545059,,,,,,,,,5075517008.93816,2130655972.2502542,,3045310205.362896,5175966177.61315,,5075517008.93816,3045310205.362896,2130655972.2502542,5175966177.61315,
,27797.46734,8844.733668,3486.211055,2046.81407,1624.728643,1406.879397,1240.246231,1093.713568,965.1005025,848.3869347,751.1708543,656.9396985,4832.542714,0.297988618,0.595977226,0.010014895,-11,33189.30151,13560.40704,5807.150754,3691.59799,3128.417085,2916.733668,2769.959799,1315.035176,0,0.223647905,0.447295769,0.005714551,60986.76884,0.42106795,0.003022987,0.387568543,0.001854781,,,,,,,,,5014527026.346944,2078709948.1093152,,3008716215.808166,5087426163.917481,,5014527026.346944,3008716215.808166,2078709948.1093152,5087426163.917481,
,26900.54774,8340.683417,3322.361809,1976.623116,1571.904523,1364.437186,1205.673367,1070.688442,948.4874372,843.2110553,741.8492462,657.7286432,4856.899497,0.314832513,0.629665005,0.011011149,-10,32135.09045,13009.98492,5613.969849,3605.015075,3066.316583,2846.080402,2706.030151,1287.693467,0,0.23704999,0.47410002,0.006134218,59035.63819,0.450861352,0.003458766,0.416461894,0.002160195,,,,,,,,,4938319874.869228,2028054510.68094,,2962991924.921537,4991046435.602477,,4938319874.869228,2962991924.921537,2028054510.68094,4991046435.602477,
,25937.09045,7815.145729,3158.497487,1893.155779,1520.979899,1319.070352,1168.577889,1041.190955,928.7638191,825.919598,737.1155779,650.1859296,4878.487437,0.330418291,0.660836563,0.011834318,-9,31034.39698,12433.10553,5397.809045,3500.60804,3004.582915,2793.477387,2642.39196,1262.422111,0,0.250815392,0.501630734,0.00660347,56971.48744,0.481746985,0.003755113,0.445571538,0.002431247,,,,,,,,,4848956915.186657,1978438025.7951992,,2909374149.1119943,4887812174.907193,,4848956915.186657,2909374149.1119943,1978438025.7951992,4887812174.907193,
