conversion,germline,ratio,avg_960_to_1010,avg_110_to_160,
0,0,0.6,0,,0
0,0.05,0.6,0,,0
0,0.1,0.6,0,,0
0,0.15,0.6,0,,0
0,0.2,0.6,0,,0
0,0.25,0.6,0,,0
0,0.3,0.6,0,,0
0,0.35,0.6,0,,0
0,0.4,0.6,0,,0
0,0.45,0.6,0,,0
0,0.5,0.6,0,,0
0,0.55,0.6,0,,0
0,0.6,0.6,0,,0
0,0.65,0.6,0,,0
0,0.7,0.6,0,,0
0,0.75,0.6,0,,0
0,0.8,0.6,0,,0
0,0.85,0.6,0,,0
0,0.9,0.6,0,,0
0,0.95,0.6,0,,0
0,1,0.6,0,,0
0.05,0,0.6,0.2064438,,0.2064438
0.05,0.05,0.6,0.224053566,,0.224053566
0.05,0.1,0.6,0.220636407,,0.220636407
0.05,0.15,0.6,0.294561399,,0.294561399
0.05,0.2,0.6,0.279938327,,0.279938327
0.05,0.25,0.6,0,,0
0.05,0.3,0.6,0,,0
0.05,0.35,0.6,0,,0
0.05,0.4,0.6,0,,0
0.05,0.45,0.6,0,,0
0.05,0.5,0.6,0,,0
0.05,0.55,0.6,0,,0
0.05,0.6,0.6,0,,0
0.05,0.65,0.6,0,,0
0.05,0.7,0.6,0,,0
0.05,0.75,0.6,0,,0
0.05,0.8,0.6,0,,0
0.05,0.85,0.6,0,,0
0.05,0.9,0.6,0,,0
0.05,0.95,0.6,0,,0
0.05,1,0.6,0,,0
0.1,0,0.6,0.228310184,,0.228310184
0.1,0.05,0.6,0.220519051,,0.220519051
0.1,0.1,0.6,0.290408156,,0.290408156
0.1,0.15,0.6,0.341131093,,0.341131093
0.1,0.2,0.6,0.31482597,,0.31482597
0.1,0.25,0.6,0.391805469,,0.391805469
0.1,0.3,0.6,0.449462404,,0.449462404
0.1,0.35,0.6,0.458095827,,0.458095827
0.1,0.4,0.6,0.063425108,,0.063425108
0.1,0.45,0.6,0.061505121,,0.061505121
0.1,0.5,0.6,0.060859335,,0.060859335
0.1,0.55,0.6,0.058782143,,0.058782143
0.1,0.6,0.6,0.057297813,,0.057297813
0.1,0.65,0.6,0.05792515,,0.05792515
0.1,0.7,0.6,0.058391208,,0.058391208
0.1,0.75,0.6,0.058144625,,0.058144625
0.1,0.8,0.6,0.058528635,,0.058528635
0.1,0.85,0.6,0.060484881,,0.060484881
0.1,0.9,0.6,0.063407836,,0.063407836
0.1,0.95,0.6,0.074559675,,0.074559675
0.1,1,0.6,1,,1
0.15,0,0.6,0.229766061,,0.229766061
0.15,0.05,0.6,0.294829608,,0.294829608
0.15,0.1,0.6,0.341469732,,0.341469732
0.15,0.15,0.6,0.321894752,,0.321894752
0.15,0.2,0.6,0.385006355,,0.385006355
0.15,0.25,0.6,0.440011614,,0.440011614
0.15,0.3,0.6,0.455567723,,0.455567723
0.15,0.35,0.6,0.502063826,,0.502063826
