conversion,germline,ratio,avg_960_to_1010,avg_110_to_160,
0,0,0.6,0.176621474,,0.176621474
0,0.05,0.6,0.206404346,,0.206404346
0,0.1,0.6,0.22801343,,0.22801343
0,0.15,0.6,0.229777198,,0.229777198
0,0.2,0.6,0,,0
0,0.25,0.6,0,,0
0,0.3,0.6,0,,0
0,0.35,0.6,0,,0
0,0.4,0.6,0,,0
0,0.45,0.6,0,,0
0,0.5,0.6,0,,0
0,0.55,0.6,0,,0
0,0.6,0.6,0,,0
0,0.65,0.6,0,,0
0,0.7,0.6,0,,0
0,0.75,0.6,0,,0
0,0.8,0.6,0,,0
0,0.85,0.6,0,,0
0,0.9,0.6,0,,0
0,0.95,0.6,0,,0
0,1,0.6,0,,0
0.05,0,0.6,0.20625545,,0.20625545
0.05,0.05,0.6,0.224626806,,0.224626806
0.05,0.1,0.6,0.220487213,,0.220487213
0.05,0.15,0.6,0.294721651,,0.294721651
0.05,0.2,0.6,0.34895047,,0.34895047
0.05,0.25,0.6,0.325585568,,0.325585568
0.05,0.3,0.6,0.380206197,,0.380206197
0.05,0.35,0.6,0.055431797,,0.055431797
0.05,0.4,0.6,0.053988202,,0.053988202
0.05,0.45,0.6,0.051638291,,0.051638291
0.05,0.5,0.6,0.051795593,,0.051795593
0.05,0.55,0.6,0.051284875,,0.051284875
0.05,0.6,0.6,0.045731965,,0.045731965
0.05,0.65,0.6,0.045487516,,0.045487516
0.05,0.7,0.6,0.040070807,,0.040070807
0.05,0.75,0.6,0.03279015,,0.03279015
0.05,0.8,0.6,0.022455584,,0.022455584
0.05,0.85,0.6,0.014757733,,0.014757733
0.05,0.9,0.6,0.019897285,,0.019897285
0.05,0.95,0.6,0.017236314,,0.017236314
0.05,1,0.6,0.014885911,,0.014885911
0.1,0,0.6,0.228418384,,0.228418384
0.1,0.05,0.6,0.22022362,,0.22022362
0.1,0.1,0.6,0.290878403,,0.290878403
0.1,0.15,0.6,0.341369528,,0.341369528
0.1,0.2,0.6,0.315211348,,0.315211348
0.1,0.25,0.6,0.391657297,,0.391657297
0.1,0.3,0.6,0.449386959,,0.449386959
0.1,0.35,0.6,0.458132113,,0.458132113
0.1,0.4,0.6,0.398143426,,0.398143426
0.1,0.45,0.6,0.088315749,,0.088315749
0.1,0.5,0.6,0.079050936,,0.079050936
0.1,0.55,0.6,0.074108834,,0.074108834
0.1,0.6,0.6,0.069007505,,0.069007505
0.1,0.65,0.6,0.066105479,,0.066105479
0.1,0.7,0.6,0.063522929,,0.063522929
0.1,0.75,0.6,0.061742748,,0.061742748
0.1,0.8,0.6,0.059187694,,0.059187694
0.1,0.85,0.6,0.058319228,,0.058319228
0.1,0.9,0.6,0.056933239,,0.056933239
0.1,0.95,0.6,0.055569766,,0.055569766
0.1,1,0.6,0.054884042,,0.054884042
0.15,0,0.6,0.229759666,,0.229759666
0.15,0.05,0.6,0.295014587,,0.295014587
0.15,0.1,0.6,0.341258037,,0.341258037
0.15,0.15,0.6,0.321999894,,0.321999894
0.15,0.2,0.6,0.385290965,,0.385290965
0.15,0.25,0.6,0.439870805,,0.439870805
0.15,0.3,0.6,0.456014865,,0.456014865
0.15,0.35,0.6,0.502410744,,0.502410744
0.15,0.4,0.6,0.560975882,,0.560975882
0.15,0.45,0.6,0.585665906,,0.585665906
0.15,0.5,0.6,0.183675336,,0.183675336
0.15,0.55,0.6,0.143789198,,0.143789198
0.15,0.6,0.6,0.124882549,,0.124882549
0.15,0.65,0.6,0.111538573,,0.111538573
0.15,0.7,0.6,0.103832584,,0.103832584
0.15,0.75,0.6,0.096309488,,0.096309488
0.15,0.8,0.6,0.090245661,,0.090245661
0.15,0.85,0.6,0.085851898,,0.085851898
0.15,0.9,0.6,0.081706219,,0.081706219
0.15,0.95,0.6,0.078487843,,0.078487843
0.15,1,0.6,0.075500768,,0.075500768
0.2,0,0.6,0.305874823,,0.305874823
0.2,0.05,0.6,0.348662488,,0.348662488
0.2,0.1,0.6,0.315026091,,0.315026091
0.2,0.15,0.6,0.385420495,,0.385420495
0.2,0.2,0.6,0.43697416,,0.43697416
0.2,0.25,0.6,0.45666886,,0.45666886
0.2,0.3,0.6,0.488376318,,0.488376318
0.2,0.35,0.6,0.554969653,,0.554969653
0.2,0.4,0.6,0.569754497,,0.569754497
0.2,0.45,0.6,0.617015364,,0.617015364
0.2,0.5,0.6,0.645088716,,0.645088716
0.2,0.55,0.6,0.682640918,,0.682640918
0.2,0.6,0.6,0.231523021,,0.231523021
0.2,0.65,0.6,0.20561403,,0.20561403
0.2,0.7,0.6,0.181115301,,0.181115301
0.2,0.75,0.6,0.162642983,,0.162642983
0.2,0.8,0.6,0.150597975,,0.150597975
0.2,0.85,0.6,0.13945101,,0.13945101
0.2,0.9,0.6,0.132023244,,0.132023244
0.2,0.95,0.6,0.123848976,,0.123848976
0.2,1,0.6,0.120151721,,0.120151721
0.25,0,0.6,0.365277704,,0.365277704
0.25,0.05,0.6,0.325108158,,0.325108158
0.25,0.1,0.6,0.391833039,,0.391833039
0.25,0.15,0.6,0.439783727,,0.439783727
0.25,0.2,0.6,0.456786846,,0.456786846
0.25,0.25,0.6,0.48429823,,0.48429823
0.25,0.3,0.6,0.549150598,,0.549150598
0.25,0.35,0.6,0.573302596,,0.573302596
0.25,0.4,0.6,0.607517754,,0.607517754
0.25,0.45,0.6,0.630581613,,0.630581613
0.25,0.5,0.6,0.658127679,,0.658127679
0.25,0.55,0.6,0.702322966,,0.702322966
0.25,0.6,0.6,0.731525777,,0.731525777
0.25,0.65,0.6,0.265793923,,0.265793923
0.25,0.7,0.6,0.248217173,,0.248217173
0.25,0.75,0.6,0.243523858,,0.243523858
0.25,0.8,0.6,0.232251219,,0.232251219
0.25,0.85,0.6,0.219435495,,0.219435495
0.25,0.9,0.6,0.205113109,,0.205113109
0.25,0.95,0.6,0.196118284,,0.196118284
0.25,1,0.6,0.185007165,,0.185007165
0.3,0,0.6,0.349607258,,0.349607258
0.3,0.05,0.6,0.396911791,,0.396911791
0.3,0.1,0.6,0.449467549,,0.449467549
0.3,0.15,0.6,0.455630281,,0.455630281
0.3,0.2,0.6,0.48830825,,0.48830825
0.3,0.25,0.6,0.549213791,,0.549213791
0.3,0.3,0.1,,0.572829377,0.572829377
0.3,0.35,0.1,,0.600154452,0.600154452
0.3,0.4,0.1,,0.621575137,0.621575137
0.3,0.45,0.1,,0.650876534,0.650876534
0.3,0.5,0.1,,0.695614501,0.695614501
0.3,0.55,0.1,,0.722866639,0.722866639
0.3,0.6,0.1,,0.746059432,0.746059432
0.3,0.65,0.1,,0.429734311,0.429734311
0.3,0.7,0.1,,0.302766377,0.302766377
0.3,0.75,0.1,,0.290058838,0.290058838
0.3,0.8,0.1,,0.258850468,0.258850468
0.3,0.85,0.1,,0.26428618,0.26428618
0.3,0.9,0.1,,0.255262251,0.255262251
