conversion,germline,ratio,avg_960_to_1010,avg_110_to_160
0,0,0.6,0,
0,0.05,0.6,0,
0,0.1,0.6,0,
0,0.15,0.6,0,
0,0.2,0.6,0,
0,0.25,0.6,0,
0,0.3,0.6,0,
0,0.35,0.6,0,
0,0.4,0.6,0,
0,0.45,0.6,0,
0,0.5,0.6,0,
0,0.55,0.6,0,
0,0.6,0.6,0,
0,0.65,0.6,0,
0,0.7,0.6,0,
0,0.75,0.6,0,
0,0.8,0.6,0,
0,0.85,0.6,0,
0,0.9,0.6,0,
0,0.95,0.6,0,
0,1,0.6,0,
0.05,0,0.6,0.001465722,
0.05,0.05,0.6,0.004480642,
0.05,0.1,0.6,0.005072337,
0.05,0.15,0.6,0.00442517,
0.05,0.2,0.6,0.005552381,
0.05,0.25,0.6,0.005845608,
0.05,0.3,0.6,0.013026827,
0.05,0.35,0.6,0.014552516,
0.05,0.4,0.6,0.009571837,
0.05,0.45,0.6,0.018560715,
0.05,0.5,0.6,0.015724126,
0.05,0.55,0.6,0.017680485,
0.05,0.6,0.6,0.026899483,
0.05,0.65,0.6,0.024519679,
0.05,0.7,0.6,0.039189684,
0.05,0.75,0.6,0.057997727,
0.05,0.8,0.6,0.064913641,
0.05,0.85,0.6,0.083956736,
0.05,0.9,0.6,0.136514179,
0.05,0.95,0.6,0.176444562,
0.05,1,0.6,0.917013993,
0.1,0,0.6,0.04894058,
0.1,0.05,0.6,0.058170427,
0.1,0.1,0.6,0.070863347,
0.1,0.15,0.6,0.083568178,
0.1,0.2,0.6,0.101229129,
0.1,0.25,0.6,0.120584787,
0.1,0.3,0.6,0.136639016,
0.1,0.35,0.6,0.147895431,
0.1,0.4,0.6,0.159518506,
0.1,0.45,0.6,0.166946118,
0.1,0.5,0.6,0.179359608,
0.1,0.55,0.6,0.16480222,
0.1,0.6,0.6,0.202019098,
0.1,0.65,0.6,0.205625569,
0.1,0.7,0.6,0.232182486,
0.1,0.75,0.6,0.292401086,
0.1,0.8,0.6,0.316219827,
0.1,0.85,0.6,0.426648984,
0.1,0.9,0.6,0.544022263,
0.1,0.95,0.6,0.69977778,
0.1,1,0.6,1,
