conversion,germline,ratio,avg_960_to_1010,avg_110_to_160
0.0,0.0,0.6,0.0,
0.0,0.05,0.6,0.0,
0.0,0.1,0.6,0.0,
0.0,0.15,0.6,0.0,
0.0,0.2,0.6,0.0,
0.0,0.25,0.6,0.0,
0.0,0.3,0.6,0.0,
0.0,0.35,0.6,0.0,
0.0,0.4,0.6,0.0,
0.0,0.45,0.6,0.0,
0.0,0.5,0.6,0.0,
0.0,0.55,0.6,0.0,
0.0,0.6,0.6,0.0,
0.0,0.65,0.6,0.0,
0.0,0.7,0.6,0.0,
0.0,0.75,0.6,0.0,
0.0,0.8,0.6,0.0,
0.0,0.85,0.6,0.0,
0.0,0.9,0.6,0.0,
0.0,0.95,0.6,0.0,
0.0,1.0,0.6,0.0,
0.05,0.0,0.6,0.0,
0.05,0.05,0.6,0.0,
0.05,0.1,0.6,1.0378035444947207e-05,
0.05,0.15,0.6,0.0,
0.05,0.2,0.6,0.0,
0.05,0.25,0.6,0.0,
0.05,0.3,0.6,0.0,
0.05,0.35,0.6,0.0,
0.05,0.4,0.6,0.0,
0.05,0.45,0.6,0.0,
0.05,0.5,0.6,7.030414781297134e-06,
0.05,0.55,0.6,0.0,
0.05,0.6,0.6,0.0,
0.05,0.65,0.6,6.876085822021116e-05,
0.05,0.7,0.6,0.0,
0.05,0.75,0.6,0.0,
0.05,0.8,0.6,0.0,
0.05,0.85,0.6,0.00015983700754147815,
0.05,0.9,0.6,1.6250550527903472e-05,
0.05,0.95,0.6,5.6564190045248875e-05,
0.05,1.0,0.6,0.0,
0.1,0.0,0.6,0.028211470535444948,
0.1,0.05,0.6,0.03690159132730015,
0.1,0.1,0.6,0.0436409822775264,
0.1,0.15,0.6,0.05339910980392156,
0.1,0.2,0.6,0.06201966825037707,
0.1,0.25,0.6,0.07316199871794872,
0.1,0.3,0.6,0.08587811561085973,
0.1,0.35,0.6,0.10291488393665159,
0.1,0.4,0.6,0.1158314314479638,
0.1,0.45,0.6,0.12969187028657617,
0.1,0.5,0.6,0.14656179939668174,
0.1,0.55,0.6,0.15975089291101055,
0.1,0.6,0.6,0.1725573733031674,
0.1,0.65,0.6,0.17785178883861236,
0.1,0.7,0.6,0.17695973755656108,
0.1,0.75,0.6,0.20996648567119153,
0.1,0.8,0.6,0.2302736794871795,
0.1,0.85,0.6,0.3158550143288084,
0.1,0.9,0.6,0.4082762586726999,
0.1,0.95,0.6,0.592975677224736,
0.1,1.0,0.6,1.0,
0.15,0.0,0.6,0.0772412157616893,
0.15,0.05,0.6,0.09421495716440421,
0.15,0.1,0.6,0.11332916870286576,
0.15,0.15,0.6,0.1309205829562594,
0.15,0.2,0.6,0.14776979713423832,
0.15,0.25,0.6,0.1608658536953243,
0.15,0.3,0.6,0.1737872021116139,
0.15,0.35,0.6,0.17031449472096533,
0.15,0.4,0.6,0.1928238084464555,
0.15,0.45,0.6,0.17546012368024133,
0.15,0.5,0.6,0.2140980452488688,
0.15,0.55,0.6,0.19678025867269983,
0.15,0.6,0.6,0.23536372171945702,
0.15,0.65,0.6,0.291168044494721,
0.15,0.7,0.6,0.35010071116138763,
0.15,0.75,0.6,0.36503273227752636,
0.15,0.8,0.6,0.43312761990950227,
0.15,0.85,0.6,0.5291322926093515,
0.15,0.9,0.6,0.6322493619909503,
0.15,0.95,0.6,0.7866387805429865,
0.15,1.0,0.6,1.0,
0.2,0.0,0.6,0.12914948340874813,
0.2,0.05,0.6,0.14899783634992458,
0.2,0.1,0.6,0.16293407993966816,
0.2,0.15,0.6,0.17700329260935144,
0.2,0.2,0.6,0.17435488914027147,
0.2,0.25,0.6,0.19371452564102565,
0.2,0.3,0.6,0.18219718853695324,
0.2,0.35,0.6,0.22063514630467573,
0.2,0.4,0.6,0.19399229336349924,
0.2,0.45,0.6,0.22974483257918552,
0.2,0.5,0.6,0.2829083054298642,
0.2,0.55,0.6,0.31789858974358975,
0.2,0.6,0.6,0.3410963544494721,
0.2,0.65,0.6,0.3722331870286576,
0.2,0.7,0.6,0.4301051968325792,
0.2,0.75,0.6,0.47140047586727,
0.2,0.8,0.6,0.5602537873303167,
0.2,0.85,0.6,0.6334488431372549,
0.2,0.9,0.6,0.7289366990950227,
0.2,0.95,0.6,0.8502279600301659,
0.2,1.0,0.6,1.0,
0.25,0.0,0.6,0.16541254147812973,
0.25,0.05,0.6,0.17426607239819003,
0.25,0.1,0.6,0.18717527149321267,
0.25,0.15,0.6,0.17207964404223228,
0.25,0.2,0.6,0.19879550226244344,
0.25,0.25,0.6,0.2358603318250377,
0.25,0.3,0.6,0.1979492330316742,
0.25,0.35,0.6,0.23903265987933636,
0.25,0.4,0.6,0.28799493363499246,
0.25,0.45,0.6,0.32143035520361996,
0.25,0.5,0.6,0.3592865867269985,
0.25,0.55,0.6,0.3566129607843137,
0.25,0.6,0.6,0.4156470535444947,
0.25,0.65,0.6,0.4446431953242836,
0.25,0.7,0.6,0.5091296885369533,
0.25,0.75,0.6,0.5665972262443438,
0.25,0.8,0.6,0.6238046794871794,
0.25,0.85,0.6,0.7030507828054299,
0.25,0.9,0.6,0.7875633514328808,
0.25,0.95,0.6,0.8848631251885369,
0.25,1.0,0.6,1.0,
0.3,0.0,0.6,0.18967361915535447,
0.3,0.05,0.6,0.1710572262443439,
0.3,0.1,0.6,0.20042777677224735,
0.3,0.15,0.6,0.23697633333333334,
0.3,0.2,0.6,0.19857132428355956,
0.3,0.25,0.6,0.23855128582202115,
0.3,0.3,0.1,,0.28715077300150826
0.3,0.35,0.1,,0.31488537179487186
0.3,0.4,0.1,,0.3665801576168929
0.3,0.45,0.1,,0.33255827601809956
0.3,0.5,0.1,,0.387210092760181
0.3,0.55,0.1,,0.43095506334841627
0.3,0.6,0.1,,0.45242947285067875
0.3,0.65,0.1,,0.5320166726998491
0.3,0.7,0.1,,0.5688516003016592
0.3,0.75,0.1,,0.6193352549019608
0.3,0.8,0.1,,0.683767754147813
0.3,0.85,0.1,,0.7474195746606335
0.3,0.9,0.1,,0.823850278280543
0.3,0.95,0.1,,0.913088052036199
0.3,1.0,0.1,,1.0
0.35,0.0,0.6,0.19884644419306183,
0.35,0.05,0.6,0.23518840723981901,
0.35,0.1,0.6,0.19489336802413273,
0.35,0.15,0.6,0.23330614328808447,
0.35,0.2,0.6,0.27898045475113126,
0.35,0.25,0.6,0.3034887571644042,
0.35,0.3,0.1,,0.35213909653092007
0.35,0.35,0.1,,0.30961098491704375
0.35,0.4,0.1,,0.3692369117647059
0.35,0.45,0.1,,0.4153692571644042
0.35,0.5,0.1,,0.43665971116138763
0.35,0.55,0.1,,0.4688414962292609
0.35,0.6,0.1,,0.5428546493212669
0.35,0.65,0.1,,0.5704257948717949
0.35,0.7,0.1,,0.613643015837104
0.35,0.75,0.1,,0.6666903069381599
0.35,0.8,0.1,,0.7227061282051283
0.35,0.85,0.1,,0.783565717948718
0.35,0.9,0.1,,0.8513944064856711
0.35,0.95,0.1,,0.9268145226244344
0.35,1.0,0.1,,1.0
0.4,0.0,0.6,0.19411911161387632,
0.4,0.05,0.6,0.23223542760180996,
0.4,0.1,0.6,0.27285416968325793,
0.4,0.15,0.6,0.2972050346907994,
0.4,0.2,0.6,0.3391892880844646,
0.4,0.25,0.6,0.3516155113122172,
0.4,0.3,0.1,,0.3461502737556561
0.4,0.35,0.1,,0.3889104117647059
0.4,0.4,0.1,,0.4358800414781297
0.4,0.45,0.1,,0.4468147013574661
0.4,0.5,0.1,,0.48600726546003015
0.4,0.55,0.1,,0.5498111402714932
0.4,0.6,0.1,,0.572633278280543
0.4,0.65,0.1,,0.6094228536953243
0.4,0.7,0.1,,0.6540939306184013
0.4,0.75,0.1,,0.7083876561085973
