conversion,germline,ratio,avg_960_to_1010,avg_110_to_160
0,0,0.6,0.007702263,
0,0.05,0.6,0,
0,0.1,0.6,0,
0,0.15,0.6,0,
0,0.2,0.6,0.008300477,
0,0.25,0.6,0,
0,0.3,0.6,0.027818473,
0,0.35,0.6,0.036059861,
0,0.4,0.6,0,
0,0.45,0.6,0,
0,0.5,0.6,0.000301344,
0,0.55,0.6,0.001248867,
0,0.6,0.6,0.009101461,
0,0.65,0.6,0,
0,0.7,0.6,0.011566631,
0,0.75,0.6,0.031241469,
0,0.8,0.6,0.001246356,
0,0.85,0.6,0,
0,0.9,0.6,0,
0,0.95,0.6,0,
0,1,0.6,0,
0.05,0,0.6,0,
0.05,0.05,0.6,0,
0.05,0.1,0.6,0,
0.05,0.15,0.6,0,
0.05,0.2,0.6,0,
0.05,0.25,0.6,0,
0.05,0.3,0.6,0,
0.05,0.35,0.6,0,
0.05,0.4,0.6,0,
0.05,0.45,0.6,0,
0.05,0.5,0.6,0,
0.05,0.55,0.6,0,
0.05,0.6,0.6,0,
0.05,0.65,0.6,0,
0.05,0.7,0.6,0,
0.05,0.75,0.6,0,
0.05,0.8,0.6,0,
0.05,0.85,0.6,0,
0.05,0.9,0.6,0,
0.05,0.95,0.6,0,
0.05,1,0.6,0,
0.1,0,0.6,0.008914295,
0.1,0.05,0.6,0.007970979,
0.1,0.1,0.6,0.007962652,
0.1,0.15,0.6,0.006661943,
0.1,0.2,0.6,0.007437748,
0.1,0.25,0.6,0.007046116,
0.1,0.3,0.6,0.006615032,
0.1,0.35,0.6,0.00612392,
0.1,0.4,0.6,0.006253305,
0.1,0.45,0.6,0.005649608,
0.1,0.5,0.6,0.006251943,
0.1,0.55,0.6,0.005752767,
0.1,0.6,0.6,0.006210669,
0.1,0.65,0.6,0.00656698,
0.1,0.7,0.6,0.005248316,
0.1,0.75,0.6,0.00578056,
0.1,0.8,0.6,0.005748269,
0.1,0.85,0.6,0.006024091,
0.1,0.9,0.6,0.005181148,
0.1,0.95,0.6,0.005905461,
0.1,1,0.6,0.005368592,
0.15,0,0.6,0.030380648,
0.15,0.05,0.6,0.028415725,
0.15,0.1,0.6,0.027997122,
0.15,0.15,0.6,0.027439942,
0.15,0.2,0.6,0.026739781,
0.15,0.25,0.6,0.026255903,
0.15,0.3,0.6,0.02552806,
0.15,0.35,0.6,0.024775724,
0.15,0.4,0.6,0.023859169,
0.15,0.45,0.6,0.023666568,
0.15,0.5,0.6,0.02436408,
0.15,0.55,0.6,0.0242007,
0.15,0.6,0.6,0.024316201,
0.15,0.65,0.6,0.024234731,
0.15,0.7,0.6,0.023043347,
0.15,0.75,0.6,0.023565741,
0.15,0.8,0.6,0.023958833,
0.15,0.85,0.6,0.022154801,
0.15,0.9,0.6,0.023101655,
