 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,29981.52261,10693.94975,4179.301508,2227.628141,1661.346734,1399.924623,1205.738693,1048.025126,910.8643216,793.6180905,694.0301508,608.7839196,4558.311558,0.0,0.0,0.0,-29,48828.79397,21172.28643,8696.140704,5250.326633,4345.286432,3972.663317,3684.075377,1708.015075,0,0.0,0.0,0.0,78810.31658,1.0,0.0,1.0,0.0,,,,,,,,,4927966029.667841,2876091916.8769464,,2956779617.8007045,5832871534.67765,,4927966029.667841,2956779617.8007045,2876091916.8769464,5832871534.67765,
,30537.70352,11494.62312,3905.422111,2296.246231,1684.40201,1388.924623,1199.241206,1040.733668,909.5979899,790.8844221,691.8140704,604.5979899,4531.21608,0.0,0.0,0.0,-28,47961.28643,20730.13568,8564.351759,5194.241206,4238.58794,3890.226131,3644.798995,1698.944724,0,0.0,0.0,0.0,78498.98995,0.048637925,0.0,0.045412729,0.0,,,,,,,,,4921498215.826768,2830177275.3538237,,2952898929.496061,5783076204.849884,,4921498215.826768,2952898929.496061,2830177275.3538237,5783076204.849884,
,30702.23618,11478.33668,4164.899497,2161.231156,1742.79397,1413.577889,1194.874372,1037.829146,904.4572864,792.1457286,691.1256281,605.5829146,4515.38191,0.00211779,0.00423558,0.0,-27,47245.77387,20450.94975,8353.326633,5148.914573,4214.959799,3810.150754,3581.572864,1685.899497,0,0.002135769,0.004271538,0.0,77948.01005,0.064514544,0.0,0.07283061,0.0,,,,,,,,,4929658042.095636,2790305173.414716,,2957794825.257382,5748099998.672098,,4929658042.095636,2957794825.257382,2790305173.414716,5748099998.672098,
,30827.34171,11510.0201,4161.904523,2290.055276,1643.447236,1464.190955,1217.301508,1036.472362,903.8894472,790.040201,691.718593,605.2211055,4513.080402,0.005637972,0.011275945,0.000184523,-26,46575.33668,20185.40201,8230.638191,5001.261307,4189.155779,3794.864322,3512.829146,1661.18593,0,0.007305346,0.014610695,0.0,77402.67839,0.071218278,1.27e-06,0.095770477,0.0,,,,,,,,,4945050479.4689865,2752519108.444066,,2967030287.6813917,5719549396.125458,,4945050479.4689865,2967030287.6813917,2752519108.444066,5719549396.125458,
,30946.26633,11546.28643,4168.688442,2288.025126,1738.035176,1379.482412,1260.959799,1056.306533,902.5929648,790.1708543,691.9346734,606.5628141,4517.221106,0.010013705,0.020027409,0.000589471,-25,45939.49749,19947.82412,8115.190955,4923.954774,4057.728643,3768.025126,3496.477387,1630.296482,0,0.016122327,0.032244661,2.33e-05,76885.76382,0.07548995,1.99e-05,0.117196714,3.48e-06,,,,,,,,,4965859462.096146,2712991464.384489,,2979515677.257687,5692507141.642176,,4965859462.096146,2979515677.257687,2712991464.384489,5692507141.642176,
,31110.75879,11599.41709,4198.336683,2299.457286,1738.095477,1459.070352,1187.40201,1093.829146,921.8140704,788.8743719,692.4020101,606.8944724,4525.165829,0.015009317,0.030018635,0.001176078,-24,45288.98995,19647.91457,8039.844221,4854.482412,3999.914573,3651.18593,3473.678392,1621.969849,0,0.028116105,0.056232207,0.000123841,76399.74874,0.079956272,7.12e-05,0.138549347,1.61e-05,,,,,,,,,4992182550.843021,2672626558.093791,,2995309530.5058126,5667936088.599604,,4992182550.843021,2995309530.5058126,2672626558.093791,5667936088.599604,
,31296.64824,11669.8392,4221.356784,2316.472362,1747.859296,1461.261307,1254.798995,1030.125628,952.8994975,806.6733668,693.0301508,609.0150754,4533.316583,0.020964867,0.041929744,0.001935088,-23,44640.80402,19374.76884,7918.798995,4824.839196,3945.743719,3602.211055,3363.899497,1610.542714,0,0.042771383,0.085542771,0.000386858,75937.45226,0.086092027,0.000169893,0.151037095,3.9e-05,,,,,,,,,5021470450.438297,2630112570.230957,,3012882270.262978,5642994840.493935,,5021470450.438297,3012882270.262978,2630112570.230957,5642994840.493935,
,31464.34673,11701.86935,4248.39196,2338.718593,1764.919598,1471.0,1257.819095,1089.81407,897.718593,833.5175879,707.6281407,608.321608,4544.628141,0.028328643,0.05665729,0.002912148,-22,43946.57789,19000.9799,7828.100503,4756.040201,3924.336683,3557.246231,3322.452261,1557.422111,0,0.056096663,0.112193337,0.000959979,75410.92462,0.045504014,0.000320607,0.112511467,9.39e-05,,,,,,,,,5054220196.885436,2593699937.102516,,3032532118.1312613,5626232055.233778,,5054220196.885436,3032532118.1312613,2593699937.102516,5626232055.233778,
,31651.44221,11750.76884,4275.778894,2357.271357,1780.728643,1484.839196,1265.351759,1093.427136,950.4321608,785.4723618,732.281407,621.6180905,4553.472362,0.035739453,0.071478912,0.004131893,-21,43293.24121,18677.72362,7681.763819,4707.336683,3872.778894,3536.311558,3281.060302,1536.266332,0,0.065838907,0.131677794,0.0019459,74944.68342,0.044534609,0.000543938,0.094994969,0.000164569,,,,,,,,,5088776928.969105,2562961795.624583,,3053266157.3814626,5616227953.006045,,5088776928.969105,3053266157.3814626,2562961795.624583,5616227953.006045,
,31826.94472,11798.94472,4291.713568,2371.040201,1796.110553,1498.291457,1279.306533,1098.688442,953.5226131,831.8743719,689.0603015,644.1507538,4574.241206,0.044457175,0.088914353,0.005471599,-20,42667.96985,18389.47236,7549.165829,4623.728643,3833.703518,3490.603015,3260.512563,1520.78392,0,0.073968549,0.147937131,0.003432627,74494.91457,0.055515351,0.000829104,0.085081191,0.00028636,,,,,,,,,5123798138.859388,2532524482.866013,,3074278883.315633,5606803366.181646,,5123798138.859388,3074278883.315633,2532524482.866013,5606803366.181646,
,31948.43719,11797.44221,4312.643216,2382.075377,1806.432161,1509.025126,1291.582915,1110.693467,957.4170854,834.1557789,729.1105528,606.1557789,4611.703518,0.055400416,0.110800849,0.006996466,-19,42020.61307,18095.42714,7423.366834,4545.693467,3766.78392,3456.211055,3220.0,1513.130653,0,0.079979829,0.159959628,0.00535765,73969.05025,0.071993271,0.001175667,0.080072896,0.000456291,,,,,,,,,5156122361.0187025,2498933326.539519,,3093673416.6112213,5592606743.15074,,5156122361.0187025,3093673416.6112213,2498933326.539519,5592606743.15074,
,32065.31658,11800.8794,4318.150754,2391.316583,1818.286432,1519.969849,1301.090452,1121.959799,968.6030151,837.5678392,732.1356784,641.321608,4614.035176,0.068673841,0.137347663,0.008777158,-18,41338.70352,17763.29648,7324.41206,4468.552764,3706.547739,3396.135678,3186.120603,1493.638191,0,0.083983312,0.167966658,0.007506033,73404.0201,0.091771658,0.00164634,0.078796037,0.000722455,,,,,,,,,5189868786.3093605,2461800398.131435,,3113921271.7856164,5575721669.917051,,5189868786.3093605,3113921271.7856164,2461800398.131435,5575721669.917051,
