 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,29983.8191,10689.82412,4179.075377,2229.517588,1663.628141,1400.110553,1206.361809,1046.708543,909.9246231,792.4020101,694.6231156,608.160804,4563.482412,0.0,0.0,0.0,-29,48820.59799,21156.63317,8694.055276,5251.824121,4344.321608,3976.557789,3686.979899,1710.226131,0,0.0,0.0,0.0,78804.41709,1.0,0.0,1.0,0.0,,,,,,,,,4929557912.886004,2877336635.808807,,2957734747.7316027,5835071383.540409,,4929557912.886004,2957734747.7316027,2877336635.808807,5835071383.540409,
,30560.88442,11513.44724,3901.633166,2300.824121,1685.070352,1391.301508,1199.090452,1040.080402,907.6733668,789.5929648,689.0502513,606.1708543,4536.949749,0.0,0.0,0.0,-28,47938.55276,20714.8191,8556.060302,5193.59799,4240.542714,3886.090452,3646.934673,1700.507538,0,0.0,0.0,0.0,78499.43719,0.048692557,0.0,0.045458409,0.0,,,,,,,,,4923367470.306636,2829975763.455596,,2954020482.1839814,5783996245.639578,,4923367470.306636,2954020482.1839814,2829975763.455596,5783996245.639578,
,30710.25628,11470.96482,4176.095477,2157.376884,1746.422111,1416.145729,1196.974874,1038.070352,902.9246231,790.1557789,688.9447236,602.8944724,4523.286432,0.002116107,0.004232214,0.0,-27,47193.9598,20429.99497,8330.226131,5142.512563,4216.964824,3814.643216,3575.633166,1683.984925,0,0.002097274,0.004194548,0.0,77904.21608,0.064518137,0.0,0.072738635,0.0,,,,,,,,,4931921152.978192,2788624667.506607,,2959152691.7869153,5747777359.293522,,4931921152.978192,2959152691.7869153,2788624667.506607,5747777359.293522,
,30833.24623,11515.22111,4155.286432,2294.889447,1640.457286,1467.964824,1218.567839,1038.824121,904.9346734,788.5929648,691.0954774,602.5125628,4514.899497,0.00561287,0.011225738,0.000180063,-26,46520.80402,20164.13568,8218.055276,4986.643216,4179.175879,3796.874372,3515.889447,1660.030151,0,0.0072601,0.0145202,0.0,77354.05025,0.071152544,1.26e-06,0.095554578,0.0,,,,,,,,,4946449621.113379,2750281066.9923916,,2967869772.668027,5718150839.6604185,,4946449621.113379,2967869772.668027,2750281066.9923916,5718150839.6604185,
,30979.32663,11557.61809,4180.60804,2287.688442,1743.175879,1378.708543,1262.924623,1058.417085,905.4070352,791.5276382,691.7035176,606.3316583,4515.21608,0.009939202,0.019878402,0.000621404,-25,45899.75879,19929.20603,8107.035176,4917.050251,4049.276382,3763.095477,3499.994975,1634.100503,0,0.015997879,0.031995753,2.2e-05,76879.08543,0.075391913,2.06e-05,0.117296749,5.04e-06,,,,,,,,,4969681809.333566,2711495824.545495,,2981809085.600139,5693304910.145634,,4969681809.333566,2981809085.600139,2711495824.545495,5693304910.145634,
,31132.25126,11604.69849,4197.572864,2305.170854,1739.226131,1465.050251,1186.512563,1093.98995,920.638191,791.6532663,693.718593,607.2663317,4526.753769,0.014953466,0.029906941,0.001347128,-24,45252.13065,19632.69849,8028.61809,4858.859296,3994.221106,3644.98995,3467.386935,1625.356784,0,0.028050406,0.056100813,0.000118598,76384.38191,0.079536029,7.11e-05,0.138529899,1.96e-05,,,,,,,,,4996615216.049855,2670347895.843924,,2997969129.629913,5668317025.473837,,4996615216.049855,2997969129.629913,2670347895.843924,5668317025.473837,
,31326.88442,11679.25628,4225.688442,2316.718593,1753.105528,1461.221106,1261.311558,1030.065327,952.8241206,806.4673367,694.1105528,609.080402,4537.035176,0.020837862,0.041675733,0.002379777,-23,44579.97487,19324.88945,7915.366834,4823.969849,3949.829146,3598.386935,3358.638191,1608.894472,0,0.042571612,0.08514322,0.000381911,75906.8593,0.085612212,0.000168992,0.151024829,4.4e-05,,,,,,,,,5026913488.122333,2628272581.103017,,3016148092.8733993,5644420673.976416,,5026913488.122333,3016148092.8733993,2628272581.103017,5644420673.976416,
,31518.88945,11734.40704,4254.266332,2339.949749,1764.226131,1474.100503,1259.552764,1096.708543,897.9346734,833.5427136,707.0301508,610.8040201,4546.366834,0.028089966,0.056179938,0.003674838,-22,43897.34171,18985.61307,7796.241206,4754.160804,3926.758794,3560.170854,3316.914573,1557.482412,0,0.056081666,0.112163347,0.000943866,75416.23116,0.0451744,0.000365816,0.112653347,0.000107782,,,,,,,,,5060321262.285145,2592355625.6819243,,3036192757.3710866,5628548383.053011,,5060321262.285145,3036192757.3710866,2592355625.6819243,5628548383.053011,
,31728.92462,11810.34673,4277.467337,2356.467337,1780.427136,1483.251256,1270.753769,1093.306533,957.5527638,786.321608,732.5125628,621.8894472,4558.628141,0.035321485,0.070642978,0.005419724,-21,43249.67839,18671.89447,7664.417085,4687.065327,3867.376884,3536.015075,3283.025126,1539.884422,0,0.065827865,0.131655704,0.00193508,74978.60302,0.04438653,0.000636399,0.094698777,0.00018891,,,,,,,,,5095633882.82938,2561151426.131281,,3057380329.697628,5618531755.828909,,5095633882.82938,3057380329.697628,2561151426.131281,5618531755.828909,
,31921.08543,11858.0,4313.40201,2376.743719,1794.201005,1495.688442,1278.417085,1103.331658,953.1105528,836.4422111,689.0351759,644.4673367,4578.246231,0.044125508,0.088251011,0.007347023,-20,42613.02513,18376.90955,7541.437186,4609.175879,3817.211055,3486.050251,3261.040201,1521.201005,0,0.073697574,0.147395126,0.003481006,74534.11055,0.055525834,0.001018093,0.084843269,0.000345369,,,,,,,,,5129800003.70476,2528528560.778552,,3077880002.2228556,5606408563.001408,,5129800003.70476,3077880002.2228556,2528528560.778552,5606408563.001408,
,32081.78894,11881.31658,4329.170854,2397.763819,1812.567839,1511.100503,1287.592965,1108.949749,961.7035176,833.7889447,734.7135678,605.9396985,4617.180905,0.054965721,0.10993143,0.009712418,-19,41977.28643,18080.09548,7432.477387,4541.155779,3752.356784,3441.98995,3215.623116,1513.58794,0,0.079686678,0.159373367,0.005520316,74059.07538,0.071931562,0.001546832,0.07960213,0.000545405,,,,,,,,,5166145111.116441,2494083610.293037,,3099687066.669864,5593770676.962901,,5166145111.116441,3099687066.669864,2494083610.293037,5593770676.962901,
,32241.30151,11918.43216,4342.100503,2401.396985,1828.276382,1525.743719,1303.095477,1118.035176,967.6532663,841.6532663,731.0703518,646.2311558,4617.613065,0.067937468,0.135874899,0.012461751,-18,41329.53769,17784.22111,7317.145729,4476.125628,3700.638191,3384.055276,3176.211055,1491.140704,0,0.083626812,0.167253623,0.007901195,73570.8392,0.091165363,0.002187572,0.078289432,0.000842653,,,,,,,,,5202025316.206246,2457663058.273569,,3121215189.7237477,5578878247.997316,,5202025316.206246,3121215189.7237477,2457663058.273569,5578878247.997316,
