genome,p0_processed,p1_processed,p2_processed,p3_processed,p4_processed,p5_processed,p6_processed,p7_processed,p8_processed,p9_processed,p10_processed,p11_processed,p13_processed,p14_processed,p15_processed,p16_processed,p17_processed,p18_processed,p19_processed,p0_Y90_processed,p1_Y90_processed,p2_Y90_processed,p3_Y90_processed,p4_Y90_processed,p5_Y90_processed,p6_Y90_processed,p7_Y90_processed,p8_Y90_processed,p9_Y90_processed,p10_Y90_processed,p11_Y90_processed,p13_Y90_processed,p14_Y90_processed,p15_Y90_processed,p16_Y90_processed,p17_Y90_processed,p18_Y90_processed,p19_Y90_processed,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ants,Total_biomass,Y90_total_ants_biomass,ann_avg
0.0,113111356.2,155742252.71,267818549.75,393517146.25,439290047.38,426053810.28,393298836.20500004,357419407.46208,324576729.25566,293651592.566898,265529800.0,2529156300.0,313.355,720.1,2547.1250000000005,1869.375,773.27,4965.72,843.78,140666826.87,186475011.14,308023098.5,445837213.75,494023644.52000004,477705574.48,439647808.92999995,401354362.18079996,363414070.001325,327260678.707515,296189300.0,2738694900.0,2506.84,5760.8,6185.875,17447.5,18558.48,24828.6,9281.58,5959165828.059638,3575499496.8357825,12032.725,5959177860.784638,3575511529.5607824,3951494611.4384136,0
0.05,43797477.81,73470239.58999999,144389238.75,221631853.75,251380797.76000002,245306568.0,229880104.3,211519254.31136,194616568.4237775,177946453.65201002,162666200.0,1739207099.9999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60108605.97,94159217.57,177395612.25,270602001.25,303868818.82,297181789.6,278549478.9,254992735.91904,234143731.56609747,214261536.107595,196049100.0,2048268800.0,179.06,432.06,2183.25,1869.375,6186.16,10759.06,10969.140000000001,3695811856.347147,2217487113.808288,0.0,3695811856.347147,2217487113.808288,2635992385.4032884,0
0.1,17950245.405,35751768.305,75926157.5,117879048.75,133065848.14,130179660.28,121595808.50999999,113064305.38943999,103818270.69657749,95768813.049147,87573800.0,1027872700.0000001,89.53,144.02,1091.625,2492.5,773.27,4138.1,0.0,25511834.294999998,47746409.81,98884486.75,152502366.25,174479096.26000002,171525900.24,159238633.4,147800336.54911998,135558596.29242,125842426.61744401,114427000.0,1343997900.0,895.3000000000001,2016.2800000000002,2183.25,11839.375,15465.400000000001,20690.5,12656.699999999999,2060446426.0251646,1236267855.6150987,8729.045,2060455155.0701647,1236276584.6600988,1600530570.5424123,0
0.15,8915089.485,19289991.985,41712446.75,63960042.5,72003809.32,69377729.36,63968838.89,58887022.834879994,53420458.0621425,48257500.865739,44597799.99999999,506809100.0,0.0,0.0,363.875,1246.25,3093.08,2482.86,1687.56,11979872.535,25349096.245,54656208.25,84167986.25,95291608.64,92718268.6,86545083.46000001,79875566.42559999,73160252.6541075,66878222.995434,61016400.0,749184900.0,581.945,2736.38,5822.0,8100.625,8505.97,22345.74,6750.24,1051199830.0527614,630719898.0316569,8873.625,1051208703.6777614,630728771.6566569,877376489.2552679,0
0.2,4920574.995,11006681.455,23311288.0,35590407.5,39654832.14,37923203.64,34390887.135,30920395.031999998,27597993.076027498,24530740.463328,22695000.0,219216700.0,4521.265,10369.44,18557.625,36141.25,47942.74,53795.3,19406.940000000002,6253930.215,13988707.81,30341353.0,46238367.5,52072001.8,49185456.599999994,45560879.870000005,41391762.831039995,37478084.791665,34018725.030006,30914500.0,343512200.0,6446.16,17138.38,43665.0,61689.375,88926.04999999999,112556.32,46407.9,511758703.43635553,307055222.0618133,190734.56,511949437.99635553,307245956.6218133,433257620.11361974,0
0.25,3351384.585,7287285.5,15236901.75,23081796.25,25230253.56,24042361.0,21622770.345,19244446.68576,16791908.241727497,14952669.335913,13634000.0,111994300.0,110882.905,217902.26,432283.5,658643.125,748525.36,720857.02,293635.44,3984755.1750000003,8997925.365,18975353.5,28511707.5,31530857.52,29863840.08,26960538.439999998,24176440.56,21449058.95412,19013363.554794002,17057800.0,155274600.0,37871.19,100381.94,249982.125,398176.875,466281.81,461811.96,227820.6,296470077.2534005,177882046.3520403,3182729.61,299652806.8634005,181064775.9620403,230983654.35801977,0
0.3,1815769.8,4098161.98,8449905.25,12418881.25,13482735.72,12786729.0,11088989.614999998,9852111.60224,8677150.1963475,7368400.769715001,6859500.0,49638300.0,552713.455,1240156.22,2672298.0,4133811.25,4874694.08,4601567.2,2086667.94,2127978.3449999997,4795782.75,10164484.25,14993633.75,16223204.600000001,15325867.16,13514020.52,11757384.7776,10481562.4752825,9244920.827331001,8035900.000000001,63870700.0,320606.93,805359.84,1747327.75,2790976.875,3158034.68,3105230.24,1463958.3,146536635.1833025,87921981.10998149,20161908.145000003,166698543.3283025,108083889.25498149,120586846.25355849,0
0.35,737678.865,1617028.49,3421880.5,5058528.75,5295352.96,4940891.4,4382606.305,3764738.35808,3316584.5277599995,2930362.8435959998,2595900.0,18751000.0,2888282.565,6269766.68,13373134.0,20913321.25,23709231.470000003,23158462.84,10745538.299999999,915674.445,2082781.085,4325746.0,6583938.75,6803229.46,6179010.92,5533525.635,4974408.68224,4550109.306015,3861823.886688,3445900.0,24582000.0,1721214.25,4002171.78,8900382.5,13404041.875,15092683.860000001,14799500.84,6751927.56,56812552.999436,34087531.7996616,101057737.105,157870290.104436,135145268.9046616,108415934.94111061,0
0.4,188202.57,425139.66,860200.5,1223817.5,1252697.4,1254671.92,1076666.47,973843.99168,805359.152745,705394.7680350001,601800.0,4137800.0,5306308.805,11458375.22,24771154.5,38795762.5,43603922.03,43111553.419999994,20152841.52,248728.23,587591.3999999999,1189871.25,1744750.0,1849661.84,1825729.72,1468181.5499999998,1263961.2784,1117988.022165,973954.7038170001,914600.0,6580700.0,3427208.4,7825182.680000001,17173444.5,26698413.75,30269654.15,29375544.28,13850648.700000001,13505593.932459999,8103356.359475999,187199917.995,200705511.92746,195303274.354476,140318391.29516,0
0.45,22025.61,50118.09,100429.49999999999,133348.75,136095.52,158903.04,99566.33499999999,144210.3472,105342.33643499999,78188.33573400001,83300.0,530400.0,5927423.18,13309608.299999999,29093261.75,46153622.5,53031629.87,52682151.099999994,25025671.02,36977.955,96203.69,205953.25,254235.0,279923.74,243320.28,210945.625,193411.52447999996,171606.0641925,154676.92503900002,117299.99999999999,863600.0,4264000.545,10272946.6,23202853.25,36562482.5,42170279.45,42119237.04,20124996.779999997,1641927.8643689998,985156.7186213998,225223367.72,226865295.584369,226208524.4386214,180367795.4436439,0
