migration,p0_processed,p1_processed,p2_processed,p3_processed,p4_processed,p5_processed,p6_processed,p7_processed,p8_processed,p9_processed,p10_processed,p11_processed,p13_processed,p14_processed,p15_processed,p16_processed,p17_processed,p18_processed,p19_processed,p0_Y90_processed,p1_Y90_processed,p2_Y90_processed,p3_Y90_processed,p4_Y90_processed,p5_Y90_processed,p6_Y90_processed,p7_Y90_processed,p8_Y90_processed,p9_Y90_processed,p10_Y90_processed,p11_Y90_processed,p13_Y90_processed,p14_Y90_processed,p15_Y90_processed,p16_Y90_processed,p17_Y90_processed,p18_Y90_processed,p19_Y90_processed,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ants,Total_biomass,Y90_total_ants_biomass,ann_avg
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4356956.133333334,10714950.838095238,24160953.45238095,38694282.14285714,44664075.2,44658375.2,21448084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440978.966666667,9052137.066666666,21229160.595238097,34090278.571428575,40193838.15238095,40376821.06666667,19704272.0,0.0,0.0,188697676.96666667,188697676.96666667,188697676.96666667,168087486.41904762,0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4521435.533333333,10889557.942857143,24466608.45238095,38640277.97619047,44097746.980952375,43839425.504761904,20538408.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3245078.8,8480583.40952381,19654448.214285713,31392444.047619045,37018276.01904762,37526655.42857143,18026355.2,0.0,0.0,186993461.19047618,186993461.19047618,186993461.19047618,155343841.1190476,0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5327631.866666667,12234293.257142857,26929522.38095238,42594451.190476194,48788181.86666666,48770464.28571429,23104303.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3738517.0,9396413.447619047,21607590.595238097,34455845.23809524,40256436.2,40356327.61904762,19372385.2,0.0,0.0,207748848.44761905,207748848.44761905,207748848.44761905,169183515.29999998,0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5426114.866666667,12288060.723809524,26765258.80952381,42257370.23809524,48716746.44761904,48226599.71428571,22864027.200000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3881210.7666666666,9657021.066666666,21972158.69047619,35161460.11904762,41126180.83809523,41359718.342857145,19602214.8,0.0,0.0,206544178.0,206544178.0,206544178.0,172759964.62380952,0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5165113.6,12040894.971428571,26770457.023809522,42693557.73809524,49495908.02857143,48973034.13333333,23272256.0,0.0,0.0,0.0,3560.714285714286,2945.7904761904765,0.0,0.0,0.0,0.0,0.0,1619.0476190476193,3238.0952380952385,3879931.7666666666,9819146.438095238,22658669.523809522,36050451.78571428,41899450.83809523,42533362.32380952,20635644.400000002,0.0,0.0,208411221.49523807,208411221.49523807,208411221.49523807,177483475.2647619,0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5684558.133333333,12938208.152380953,28783898.69047619,45178342.85714286,51909983.32380953,51616688.87619048,24398099.6,0.0,274.31904761904764,0.0,0.0,1472.8952380952383,4729.257142857143,1607.204761904762,0.0,0.0,1618.806122857143,1619.0476190476193,1619.0476190476193,4115822.0,10103071.580952382,23396122.857142854,37183945.833333336,43170559.42857143,43221469.23809523,20746541.2,0.0,0.0,220509779.63333336,220509779.63333336,220509779.63333336,181944325.20095238,0
0.35,255.81428571428572,548.6380952380953,0.0,0.0,0.0,0.0,0.0,1615.8022095238096,0.0,1618.806122857143,4857.142857142857,12952.380952380954,4968403.4,11680570.647619048,26283904.166666668,41850261.9047619,48404492.657142855,48414981.790476196,22878492.000000004,1790.7,4114.785714285714,2772.3809523809527,9495.238095238095,5891.580952380953,7882.095238095238,8036.023809523809,14542.219885714285,8090.809249999999,3237.612245714286,1619.0476190476193,32380.952380952378,3926998.966666667,9802275.523809524,22341231.904761907,35646310.71428571,41858209.77142857,41675002.15238095,20176788.8,21848.584522857145,13109.150713714287,204481106.56666666,204502955.1511895,204494215.71738037,175485758.61734563,0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6070048.733333333,13549950.247619048,29585463.333333336,46308276.190476194,53729008.94285714,53680221.40952381,25505460.400000002,255.81428571428572,274.31904761904764,1386.1904761904764,0.0,2945.7904761904765,7882.095238095238,1607.204761904762,0.0,1618.16185,4856.418368571429,0.0,25904.76190476191,4376311.666666667,10622640.876190476,24070851.07142857,38010625.0,43861347.29523809,43380687.561904766,20617161.6,0.0,0.0,228428429.25714287,228428429.25714287,228428429.25714287,184964749.67425287,0
0.45,0.0,548.6380952380953,0.0,2373.809523809524,1472.8952380952383,0.0,0.0,1615.8022095238096,0.0,0.0,0.0,3238.0952380952385,5391709.766666667,12204666.285714285,26785012.023809522,42075180.35714286,48001655.80952381,47391885.828571424,22349723.2,682.1714285714286,2468.8714285714286,2772.3809523809527,3560.714285714286,4418.685714285714,12611.352380952381,12857.638095238097,8079.011047619047,4854.485549999999,1618.806122857143,0.0,22666.666666666668,3655168.8333333335,9138411.904761905,20633098.69047619,32976961.904761903,38147250.21904762,38636454.43809524,18234487.6,9249.240304761905,5549.544182857143,204199833.27142859,204209082.51173335,204205382.81561145,161466816.77700618,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4690178.266666667,10846214.780952381,24196994.404761907,38197562.5,44189066.48571429,43943469.16190476,20995657.2,511.62857142857143,548.6380952380953,2079.285714285714,2373.809523809524,0.0,4729.257142857143,0.0,3231.604419047619,1618.16185,1618.806122857143,0.0,3238.0952380952385,3538225.6,8784259.866666665,19871040.476190474,31833972.61904762,37267195.31428571,37268122.70476191,17810990.4,0.0,0.0,187059142.79999998,187059142.79999998,187059142.79999998,156384805.26928523,0
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6036155.233333333,13622371.733333334,29815224.404761907,47296967.85714286,54350570.733333334,53900131.86666667,25868687.6,85.27142857142857,1097.2761904761905,2079.285714285714,1186.904761904762,2945.7904761904765,1576.4190476190477,1607.204761904762,6463.208838095238,0.0,3237.612245714286,0.0,32380.952380952378,4423165.7,10613039.542857142,24022334.404761903,37881252.38095238,43919526.657142855,43587198.45714286,20703146.8,0.0,0.0,230890109.42857143,230890109.42857143,230890109.42857143,185179317.33101714,0
