 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-29,100148.8291,43626.74874,17815.1005,10853.0201,8906.226131,8056.773869,7437.984925,3452.974874,0,0.0,0.0,0.0,100148.8291,1,0,1.0,0.0,,,,,,,,,0.0,5863390956.123365,,0.0,5863390956.123365,,0.0,0.0,5863390956.123365,5863390956.123365,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-28,100150.3216,43355.98492,17967.93467,10935.68844,8925.336683,8057.085427,7448.567839,3459.723618,0,0.0,0.0,0.0,100150.3216,1,0,0.045663207,0.0,,,,,,,,,0.0,5876705685.052416,,0.0,5876705685.052416,,0.0,0.0,5876705685.052416,5876705685.052416,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-27,100153.0352,43389.17085,17760.33166,11006.79899,8994.81407,8081.035176,7456.417085,3464.467337,0,0.002134767,0.004269534,0.0,100153.0352,1,0,0.073135068,0.0,,,,,,,,,0.0,5890660385.335107,,0.0,5890660385.335107,,0.0,0.0,5890660385.335107,5890660385.335107,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-26,100229.5829,43517.47236,17758.63819,10845.9799,9034.266332,8134.452261,7471.728643,3467.045226,0,0.007398062,0.014796124,0.0,100229.5829,1,0,0.095851987,0.0,,,,,,,,,0.0,5896204049.347323,,0.0,5896204049.347323,,0.0,0.0,5896204049.347323,5896204049.347323,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-25,100305.608,43564.34673,17843.11558,10865.8392,8888.633166,8153.427136,7513.356784,3476.889447,0,0.016336765,0.032673525,3e-06,100305.608,1,0,0.116824025,0.0,,,,,,,,,0.0,5893838997.656451,,0.0,5893838997.656451,,0.0,0.0,5893838997.656451,5893838997.656451,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-24,100310.7789,43524.98995,17889.46734,10929.02513,8916.261307,8030.376884,7524.758794,3495.899497,0,0.028320384,0.056640771,1.67e-05,100310.7789,1,0,0.136874814,0.0,,,,,,,,,0.0,5888928418.256259,,0.0,5888928418.256259,,0.0,0.0,5888928418.256259,5888928418.256259,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-23,100151.9045,43381.71859,17882.35176,10954.84422,8970.753769,8052.778894,7411.105528,3498.351759,0,0.042924652,0.085849307,5.78e-05,100151.9045,1,0,0.148362603,3.54e-07,,,,,,,,,0.0,5881176911.134586,,0.0,5881176911.134586,,0.0,0.0,5881176911.134586,5881176911.134586,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-22,99974.31658,43208.66332,17835.60804,10958.13065,8994.060302,8101.979899,7431.592965,3444.281407,0,0.056358968,0.11271796,0.000140953,99974.31658,1,0,0.109615452,1.06e-06,,,,,,,,,0.0,5883300486.2369175,,0.0,5883300486.2369175,,0.0,0.0,5883300486.2369175,5883300486.2369175,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-21,99811.0603,43066.22111,17763.84925,10935.06533,8993.949749,8121.085427,7474.904523,3455.984925,0,0.066256552,0.132513111,0.000287514,99811.0603,1,0,0.092788825,2.92e-06,,,,,,,,,0.0,5890364792.150314,,0.0,5890364792.150314,,0.0,0.0,5890364792.150314,5890364792.150314,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-20,99557.98995,42920.11055,17703.89447,10890.25126,8967.487437,8118.311558,7491.452261,3466.482412,0,0.074501022,0.149002055,0.000517027,99557.98995,1,0,0.086019195,1.05e-05,,,,,,,,,0.0,5884852089.010822,,0.0,5884852089.010822,,0.0,0.0,5884852089.010822,5884852089.010822,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-19,99170.76884,42697.55779,17622.37688,10850.46734,8935.879397,8094.432161,7491.567839,3478.487437,0,0.081116724,0.162233437,0.00080761,99170.76884,1,0,0.085808557,2.95e-05,,,,,,,,,0.0,5872029121.393317,,0.0,5872029121.393317,,0.0,0.0,5872029121.393317,5872029121.393317,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-18,98758.33166,42457.44221,17567.67337,10806.65327,8908.170854,8069.20603,7469.447236,3479.738693,0,0.086401284,0.172802588,0.001149548,98758.33166,1,0,0.089826791,5.79e-05,,,,,,,,,0.0,5854310284.790802,,0.0,5854310284.790802,,0.0,0.0,5854310284.790802,5854310284.790802,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-17,98334.32663,42243.60302,17458.53266,10788.71357,8882.939698,8049.371859,7448.919598,3462.246231,0,0.090292468,0.180584935,0.001493857,98334.32663,1,0,0.104326379,0.000110815,,,,,,,,,0.0,5835384890.476475,,0.0,5835384890.476475,,0.0,0.0,5835384890.476475,5835384890.476475,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-16,97874.63317,41952.89447,17395.61307,10737.1809,8869.442211,8024.542714,7431.070352,3463.889447,0,0.095621172,0.191242332,0.001863218,97874.63317,1,0,0.125617256,0.00019826,,,,,,,,,0.0,5819020323.9549,,0.0,5819020323.9549,,0.0,0.0,5819020323.9549,5819020323.9549,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-15,97350.69849,41659.79899,17292.1608,10695.97487,8825.422111,8012.753769,7411.150754,3453.437186,0,0.10333923,0.206678533,0.002156789,97350.69849,1,0,0.142956005,0.000306056,,,,,,,,,0.0,5798047366.3449335,,0.0,5798047366.3449335,,0.0,0.0,5798047366.3449335,5798047366.3449335,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-14,96808.8593,41339.60804,17191.41709,10654.92462,8795.78392,7977.678392,7401.984925,3447.462312,0,0.111661558,0.223323075,0.002472769,96808.8593,1,0,0.156653497,0.000443083,,,,,,,,,0.0,5777647775.578919,,0.0,5777647775.578919,,0.0,0.0,5777647775.578919,5777647775.578919,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-13,96260.75879,41065.79397,17067.53769,10598.52764,8770.668342,7953.356784,7365.718593,3439.155779,0,0.120019121,0.240038276,0.002796894,96260.75879,1,0,0.16795508,0.000604588,,,,,,,,,0.0,5753227617.260313,,0.0,5753227617.260313,,0.0,0.0,5753227617.260313,5753227617.260313,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-12,95703.77889,40728.0603,16982.9397,10545.9196,8738.517588,7934.673367,7347.834171,3425.834171,0,0.128548709,0.257097427,0.003139355,95703.77889,1,0,0.177972809,0.000789763,,,,,,,,,0.0,5731833921.861098,,0.0,5731833921.861098,,0.0,0.0,5731833921.861098,5731833921.861098,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-11,95110.22613,40381.93467,16861.51759,10509.28643,8697.844221,7910.718593,7332.673367,3416.251256,0,0.137447543,0.27489506,0.003494636,95110.22613,1,0,0.188416467,0.000959393,,,,,,,,,0.0,5709671366.386911,,0.0,5709671366.386911,,0.0,0.0,5709671366.386911,5709671366.386911,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-10,94462.46734,39996.25628,16749.44221,10443.20101,8677.959799,7869.708543,7313.427136,3412.472362,0,0.146688075,0.293376136,0.003887255,94462.46734,1,0,0.200705477,0.001128459,,,,,,,,,0.0,5685536913.534863,,0.0,5685536913.534863,,0.0,0.0,5685536913.534863,5685536913.534863,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-9,93704.8593,39542.70854,16600.50754,10387.82915,8632.190955,7858.080402,7276.798995,3406.743719,0,0.156174769,0.312349558,0.00432155,93704.8593,1,0,0.215221739,0.001301622,,,,,,,,,0.0,5658624839.281756,,0.0,5658624839.281756,,0.0,0.0,5658624839.281756,5658624839.281756,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-8,92873.92462,39075.83417,16424.37688,10308.33166,8592.120603,7820.969849,7268.341709,3383.949749,0,0.165711397,0.331422724,0.004748756,92873.92462,1,0,0.23160693,0.001465392,,,,,,,,,0.0,5627606649.590911,,0.0,5627606649.590911,,0.0,0.0,5627606649.590911,5627606649.590911,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-7,91998.44221,38575.46734,16255.89447,10220.30653,8533.819095,7789.643216,7236.336683,3386.974874,0,0.175369965,0.350739899,0.005184809,91998.44221,1,0,0.248591382,0.001639047,,,,,,,,,0.0,5594970162.724925,,0.0,5594970162.724925,,0.0,0.0,5594970162.724925,5594970162.724925,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-6,90994.1608,37992.1005,16081.74874,10131.38191,8467.798995,7739.135678,7210.517588,3371.477387,0,0.185259884,0.370519729,0.005597886,90994.1608,1,0,0.266268538,0.001805246,,,,,,,,,0.0,5555331775.037681,,0.0,5555331775.037681,,0.0,0.0,5555331775.037681,5555331775.037681,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,-5,89873.99497,37348.32663,15864.46734,10042.48744,8412.683417,7686.226131,7162.306533,3357.497487,0,0.195519668,0.391039492,0.006037443,89873.99497,1,0,0.284500422,0.002002337,,,,,,,,,0.0,5511449468.417513,,0.0,5511449468.417513,,0.0,0.0,5511449468.417513,5511449468.417513,
