 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,29967.08543,10684.23116,4175.251256,2226.090452,1663.613065,1398.467337,1207.050251,1046.251256,911.4472362,793.6984925,694.798995,608.4773869,4557.708543,0.0,0.0,0.0,-29,48837.36683,21167.01005,8705.38191,5249.527638,4346.663317,3975.150754,3683.447236,1710.18593,0,0.0,0.0,0.0,78804.45226,1.0,0.0,1.0,0.0,,,,,,,,,4927461719.856633,2877071373.0537252,,2956477031.91398,5833548404.967705,,4927461719.856633,2956477031.91398,2877071373.0537252,5833548404.967705,
,30531.70352,11496.13568,3901.884422,2296.075377,1682.743719,1389.653266,1198.954774,1041.61809,906.8190955,792.4773869,690.3115578,606.201005,4528.829146,0.0,0.0,0.0,-28,47959.84925,20732.1005,8564.221106,5199.296482,4236.979899,3887.437186,3643.095477,1696.718593,0,0.0,0.0,0.0,78491.55276,0.048511271,0.0,0.045340854,0.0,,,,,,,,,4920133436.079335,2829269631.083049,,2952080061.647601,5781349692.73065,,4920133436.079335,2952080061.647601,2829269631.083049,5781349692.73065,
,30688.70352,11464.66332,4169.658291,2157.552764,1742.542714,1412.894472,1195.452261,1039.351759,905.1557789,789.718593,692.3115578,603.8693467,4515.532663,0.002128744,0.004257489,0.0,-27,47234.8794,20448.13568,8344.728643,5151.869347,4220.100503,3809.663317,3575.81407,1684.567839,0,0.002111279,0.004222558,0.0,77923.58291,0.064429405,0.0,0.072637934,0.0,,,,,,,,,4928867177.566053,2789634688.478594,,2957320306.539632,5746954995.018226,,4928867177.566053,2957320306.539632,2789634688.478594,5746954995.018226,
,30814.65829,11506.39196,4153.371859,2296.035176,1642.135678,1463.396985,1215.376884,1036.301508,905.6030151,790.160804,689.6633166,605.8994975,4510.321608,0.005683228,0.011366454,2.61e-05,-26,46546.95477,20176.79899,8224.59799,4992.78392,4188.100503,3798.60804,3510.643216,1655.422111,0,0.007275735,0.014551471,0.0,77361.61307,0.070685998,4.25e-07,0.095517331,0.0,,,,,,,,,4943313449.549586,2750764126.0930653,,2965988069.7297516,5716752195.822817,,4943313449.549586,2965988069.7297516,2750764126.0930653,5716752195.822817,
,30963.92462,11569.56281,4164.80402,2285.623116,1744.407035,1380.060302,1260.311558,1053.38191,902.1256281,790.9246231,693.0954774,604.8542714,4514.773869,0.01019277,0.020385544,8.9e-05,-25,45927.74372,19935.0402,8122.58794,4919.994975,4052.547739,3769.502513,3500.899497,1627.170854,0,0.016120647,0.032241298,3.27e-06,76891.66834,0.075304738,3.39e-06,0.117369357,3.83e-07,,,,,,,,,4965347339.069728,2712589208.837414,,2979208403.441837,5691797612.279251,,4965347339.069728,2979208403.441837,2712589208.837414,5691797612.279251,
,31117.29648,11606.96482,4201.457286,2296.668342,1739.170854,1465.40201,1186.100503,1093.653266,917.1658291,788.4321608,691.6934673,608.1356784,4522.452261,0.015582407,0.031164799,0.000196329,-24,45301.93467,19670.73367,8030.180905,4862.507538,3991.572864,3647.979899,3476.050251,1622.909548,0,0.028138469,0.056276937,1.7e-05,76419.23116,0.08002887,1.04e-05,0.13888808,1.97e-06,,,,,,,,,4991358817.621405,2672152312.3178377,,2994815290.5728426,5666967602.89068,,4991358817.621405,2994815290.5728426,2672152312.3178377,5666967602.89068,
,31285.45729,11661.52261,4221.728643,2320.758794,1746.075377,1461.477387,1260.718593,1027.80402,952.8743719,801.9949749,691.4723618,607.6482412,4531.38191,0.022203597,0.044407192,0.000363579,-23,44606.9196,19338.91457,7935.190955,4809.899497,3953.271357,3593.693467,3363.849246,1612.100503,0,0.04280906,0.085618121,5.35e-05,75892.37688,0.086826408,2.96e-05,0.151703241,7.76e-06,,,,,,,,,5019514738.48259,2629051905.6979203,,3011708843.089554,5640760748.787474,,5019514738.48259,3011708843.089554,2629051905.6979203,5640760748.787474,
,31490.59799,11723.63819,4256.286432,2338.356784,1767.809045,1468.145729,1259.527638,1094.60804,896.080402,834.6432161,702.3517588,606.6633166,4542.487437,0.030541619,0.061083233,0.000585866,-22,43925.24121,18993.78894,7811.190955,4766.39196,3914.748744,3559.396985,3315.482412,1564.241206,0,0.05663528,0.113270573,0.000136872,75415.8392,0.04759941,5.9e-05,0.113891337,1.87e-05,,,,,,,,,5053774384.861664,2593036654.7994537,,3032264630.9169984,5625301285.716452,,5053774384.861664,3032264630.9169984,2593036654.7994537,5625301285.716452,
,31675.24623,11770.87437,4277.98995,2358.834171,1778.467337,1486.170854,1265.899497,1093.698492,955.8743719,784.5829146,733.4723618,618.2763819,4551.105528,0.039346543,0.078693088,0.000849399,-21,43275.0,18669.15075,7675.542714,4703.296482,3881.517588,3527.38191,3282.447236,1535.663317,0,0.066819234,0.133638487,0.000289072,74950.24623,0.048773067,0.00010018,0.097260319,3.26e-05,,,,,,,,,5089621330.135027,2562247686.805312,,3053772798.081016,5616020484.886328,,5089621330.135027,3053772798.081016,2562247686.805312,5616020484.886328,
,31870.26131,11823.8995,4301.849246,2373.582915,1800.241206,1496.321608,1280.432161,1098.763819,953.2713568,835.6683417,689.321608,644.9246231,4571.984925,0.050238811,0.100477604,0.001176107,-20,42650.9799,18387.9397,7541.884422,4617.552764,3829.738693,3498.336683,3252.61809,1522.909548,0,0.075584643,0.151169266,0.000520749,74521.24121,0.062441675,0.000157518,0.089171627,5.66e-05,,,,,,,,,5126806134.039648,2531605491.824743,,3076083680.4237885,5607689172.248531,,5126806134.039648,3076083680.4237885,2531605491.824743,5607689172.248531,
,32021.85427,11844.59296,4323.140704,2386.949749,1809.839196,1514.728643,1288.452261,1112.276382,958.241206,832.8844221,734.281407,605.5778894,4610.889447,0.063760738,0.127521467,0.001559825,-19,41987.13065,18080.78392,7423.954774,4536.221106,3756.090452,3452.663317,3226.005025,1511.41206,0,0.082519699,0.165039337,0.000817167,74008.98492,0.082164573,0.000224501,0.086571855,9.33e-05,,,,,,,,,5161524263.823151,2496952417.2984843,,3096914558.2938905,5593866975.592375,,5161524263.823151,3096914558.2938905,2496952417.2984843,5593866975.592375,
,32144.27136,11842.57789,4330.01005,2403.321608,1823.623116,1523.336683,1303.894472,1119.80402,970.9547739,837.5075377,730.9145729,645.2110553,4613.115578,0.080026279,0.160052558,0.002047525,-18,41303.76382,17766.1407,7302.633166,4470.055276,3697.341709,3385.110553,3184.01005,1498.472362,0,0.087858426,0.175716854,0.001164347,73448.03518,0.10520595,0.00035282,0.088208575,0.000142451,,,,,,,,,5196990348.686293,2458921955.497123,,3118194209.2117753,5577116164.708899,,5196990348.686293,3118194209.2117753,2458921955.497123,5577116164.708899,
,32203.60804,11800.38191,4329.261307,2410.522613,1834.361809,1535.105528,1312.733668,1130.80402,974.9798995,850.201005,735.1909548,643.5376884,4646.527638,0.098728706,0.197457452,0.002604315,-17,40624.52764,17467.70854,7183.432161,4399.241206,3641.306533,3333.552764,3123.256281,1476.030151,0,0.09165596,0.183311925,0.001526153,72828.13568,0.129627136,0.000464526,0.102254602,0.000215491,,,,,,,,,5228119502.82292,2418862665.947895,,3136871701.693752,5555734367.641647,,5228119502.82292,3136871701.693752,2418862665.947895,5555734367.641647,
,32242.70352,11747.25126,4324.39196,2409.663317,1841.291457,1545.909548,1322.909548,1138.884422,985.8592965,854.2613065,746.1356784,646.1256281,4680.020101,0.11874506,0.237490156,0.00324706,-16,39930.93467,17121.48744,7071.643216,4336.648241,3587.854271,3284.894472,3076.678392,1451.728643,0,0.096741084,0.193482221,0.001918403,72173.63819,0.153788126,0.000672886,0.12603508,0.000311734,,,,,,,,,5258986758.7081785,2381990305.214338,,3155392055.224907,5537382360.439245,,5258986758.7081785,3155392055.224907,2381990305.214338,5537382360.439245,
,32191.07035,11633.73869,4306.713568,2409.442211,1841.839196,1549.844221,1331.718593,1146.592965,993.5025126,862.4020101,749.3919598,656.0201005,4709.864322,0.139242302,0.278484563,0.004003348,-15,39213.38693,16774.74874,6931.21608,4268.683417,3542.045226,3235.643216,3032.316583,1428.733668,0,0.104267175,0.208534342,0.002247483,71404.45729,0.176909111,0.00088761,0.149898332,0.000443808,,,,,,,,,5282752943.594576,2345345610.288729,,3169651766.1567454,5514997376.445475,,5282752943.594576,3169651766.1567454,2345345610.288729,5514997376.445475,
,32061.01508,11489.53769,4265.643216,2396.090452,1842.829146,1549.321608,1334.58794,1155.517588,998.959799,868.1256281,757.040201,659.6884422,4743.673367,0.16015691,0.32031399,0.004884368,-14,38516.03015,16453.62312,6793.547739,4187.396985,3487.567839,3197.316583,2987.130653,1409.447236,0,0.112478075,0.224956095,0.002592127,70577.04523,0.199598799,0.001161915,0.173309588,0.000596121,,,,,,,,,5299047661.633066,2309138885.1791363,,3179428596.97984,5488567482.158976,,5299047661.633066,3179428596.97984,2309138885.1791363,5488567482.158976,
,31871.48744,11310.24623,4222.919598,2384.19598,1830.371859,1548.61809,1333.78392,1156.909548,1007.110553,872.678392,761.0301508,666.6532663,4776.969849,0.180507794,0.361015553,0.005756892,-13,37813.66834,16123.70352,6672.18593,4110.276382,3419.452261,3148.055276,2951.693467,1388.301508,0,0.121578834,0.243157663,0.002942842,69685.15578,0.223003246,0.001457088,0.196959241,0.000768966,,,,,,,,,5307883741.295513,2271535422.239715,,3184730244.777308,5456265667.017023,,5307883741.295513,3184730244.777308,2271535422.239715,5456265667.017023,
,31606.46734,11083.21608,4175.944724,2358.105528,1824.939698,1539.371859,1331.276382,1153.788945,1008.155779,880.4773869,766.3165829,669.3467337,4815.527638,0.200611518,0.401223045,0.006716577,-12,37103.9598,15772.61307,6553.648241,4045.98995,3363.276382,3089.693467,2908.015075,1370.723618,0,0.131613352,0.263226683,0.003258274,68710.42714,0.247796849,0.001776987,0.220674779,0.000974309,,,,,,,,,5310044924.713723,2234076302.0664,,3186026954.8282337,5420103256.894634,,5310044924.713723,3186026954.8282337,2234076302.0664,5420103256.894634,
