 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,59973.66332,21388.96482,8368.472362,4460.603015,3327.462312,2798.38191,2414.768844,2091.371859,1822.19598,1586.487437,1388.60804,1215.849246,9110.497487,0.0,0.0,0.0,-29,0,0,0,0,0,0,0,0,0,0.5,1,0,59973.66332,1.0,0.0,1,0,,,,,,,,,9854966594.20901,0,,5912979956.525405,5912979956.525405,,9854966594.20901,5912979956.525405,0,5912979956.525405,
,61060.02513,22953.69849,7830.291457,4622.075377,3370.080402,2779.728643,2395.532663,2080.276382,1809.78392,1581.40201,1380.482412,1210.211055,9046.462312,0.0,0.0,0.0,-28,0,0,0,0,0,0,0,0,0,0.5,1,0,61060.02513,0.048567527,0.0,1,0,,,,,,,,,9837834595.93769,0,,5902700757.562614,5902700757.562614,,9837834595.93769,5902700757.562614,0,5902700757.562614,
,61329.33668,22887.0402,8320.994975,4357.01005,3517.346734,2829.497487,2385.251256,2069.075377,1804.61809,1574.427136,1377.713568,1204.100503,9002.261307,0.002124204,0.004248408,0.0,-27,0,0,0,0,0,0,0,0,0,0.5,1,0,61329.33668,0.064726461,0.0,1,0,,,,,,,,,9849074338.806686,0,,5909444603.284012,5909444603.284012,,9849074338.806686,5909444603.284012,0,5909444603.284012,
,61420.0603,22874.60302,8256.522613,4572.507538,3324.929648,2957.628141,2436.110553,2068.482412,1800.537688,1574.341709,1374.055276,1205.557789,8974.78392,0.005943187,0.011886376,2.67e-05,-26,0,0,0,0,0,0,0,0,0,0.5,1,0,61420.0603,0.072121186,4.26e-07,1,0,,,,,,,,,9873307785.922848,0,,5923984671.553708,5923984671.553708,,9873307785.922848,5923984671.553708,0,5923984671.553708,
,61463.96482,22886.23116,8221.150754,4513.130653,3467.758794,2799.839196,2544.889447,2112.80402,1800.482412,1571.281407,1376.914573,1202.703518,8966.778894,0.011292915,0.022585834,9.79e-05,-25,0,0,0,0,0,0,0,0,0,0.5,1,0,61463.96482,0.078200643,7.01e-06,1,0,,,,,,,,,9896822139.951912,0,,5938093283.971147,5938093283.971147,,9896822139.951912,5938093283.971147,0,5938093283.971147,
,61434.91457,22860.18593,8203.889447,4474.949749,3415.648241,2913.351759,2408.969849,2207.984925,1841.065327,1570.190955,1371.472362,1206.663317,8960.542714,0.018146658,0.036293318,0.000234651,-24,0,0,0,0,0,0,0,0,0,0.5,1,0,61434.91457,0.085792139,2.61e-05,1,0,,,,,,,,,9909830751.796898,0,,5945898451.078138,5945898451.078138,,9909830751.796898,5945898451.078138,0,5945898451.078138,
,61423.8191,22868.51759,8185.311558,4458.346734,3380.386935,2867.623116,2505.40201,2089.78392,1922.994975,1606.005025,1372.492462,1204.432161,8962.522613,0.026709901,0.053419795,0.000423977,-23,0,0,0,0,0,0,0,0,0,0.5,1,0,61423.8191,0.09535962,6.55e-05,1,0,,,,,,,,,9915821063.325249,0,,5949492637.995149,5949492637.995149,,9915821063.325249,5949492637.995149,0,5949492637.995149,
,61333.52261,22797.77387,8187.537688,4441.407035,3363.763819,2835.060302,2466.59799,2170.653266,1818.025126,1679.467337,1404.065327,1202.572864,8966.59799,0.037446156,0.074892314,0.000692307,-22,0,0,0,0,0,0,0,0,0,0.5,1,0,61333.52261,0.059952546,0.000142245,1,0,,,,,,,,,9913282088.264065,0,,5947969252.958439,5947969252.958439,,9913282088.264065,5947969252.958439,0,5947969252.958439,
,61149.59799,22676.13065,8146.21608,4435.396985,3351.366834,2819.065327,2440.522613,2137.39196,1886.969849,1586.693467,1470.351759,1231.623116,8967.869347,0.048631041,0.097262095,0.00108202,-21,0,0,0,0,0,0,0,0,0,0.5,1,0,61149.59799,0.063151473,0.000239185,1,0,,,,,,,,,9904664730.650959,0,,5942798838.390575,5942798838.390575,,9904664730.650959,5942798838.390575,0,5942798838.390575,
,60939.20101,22550.40201,8103.40201,4412.964824,3345.723618,2809.522613,2425.21608,2114.79397,1858.557789,1644.969849,1386.909548,1289.050251,8997.688442,0.061450845,0.122901714,0.001558552,-20,0,0,0,0,0,0,0,0,0,0.5,1,0,60939.20101,0.076922222,0.000396577,1,0,,,,,,,,,9891089386.234545,0,,5934653631.740726,5934653631.740726,,9891089386.234545,5934653631.740726,0,5934653631.740726,
,60644.50754,22351.73367,8065.788945,4393.547739,3330.768844,2804.336683,2412.748744,2101.59799,1838.507538,1620.231156,1437.20603,1214.241206,9073.798995,0.076391232,0.152782477,0.002120386,-19,0,0,0,0,0,0,0,0,0,0.5,1,0,60644.50754,0.096418026,0.000577909,1,0,,,,,,,,,9870957062.75456,0,,5922574237.652736,5922574237.652736,,9870957062.75456,5922574237.652736,0,5922574237.652736,
,60271.20603,22122.54774,7990.778894,4370.19598,3311.492462,2793.537688,2409.487437,2086.40201,1828.336683,1603.417085,1418.341709,1259.266332,9077.40201,0.093616019,0.18723203,0.002777631,-18,0,0,0,0,0,0,0,0,0,0.5,1,0,60271.20603,0.120312482,0.000820539,1,0,,,,,,,,,9845735574.122559,0,,5907441344.473535,5907441344.473535,,9845735574.122559,5907441344.473535,0,5907441344.473535,
,59794.49749,21804.09548,7928.190955,4334.19598,3297.482412,2773.457286,2400.532663,2086.095477,1813.592965,1594.356784,1401.296482,1243.949749,9117.251256,0.113247497,0.226494945,0.00355201,-17,0,0,0,0,0,0,0,0,0,0.5,1,0,59794.49749,0.14883508,0.001105873,1,0,,,,,,,,,9812881753.170689,0,,5887729051.902413,5887729051.902413,,9812881753.170689,5887729051.902413,0,5887729051.902413,
,59145.39698,21364.32663,7812.221106,4307.693467,3273.110553,2765.472362,2385.396985,2077.417085,1815.577889,1581.311558,1392.939698,1224.638191,9145.291457,0.135159719,0.270319392,0.004367792,-16,0,0,0,0,0,0,0,0,0,0.5,1,0,59145.39698,0.181840146,0.001454073,1,0,,,,,,,,,9774351930.689772,0,,5864611158.413863,5864611158.413863,,9774351930.689772,5864611158.413863,0,5864611158.413863,
,58310.70854,20822.42714,7669.487437,4246.61809,3251.653266,2743.924623,2376.20603,2063.673367,1805.396985,1582.532663,1380.829146,1218.874372,9149.085427,0.158841915,0.317683834,0.005275052,-15,0,0,0,0,0,0,0,0,0,0.5,1,0,58310.70854,0.219036714,0.001802243,1,0,,,,,,,,,9720015367.016346,0,,5832009220.209807,5832009220.209807,,9720015367.016346,5832009220.209807,0,5832009220.209807,
,57243.98995,20137.18593,7483.778894,4171.638191,3206.39196,2723.577889,2355.60804,2054.492462,1794.718593,1573.61809,1381.994975,1209.030151,9151.954774,0.183849472,0.36769897,0.006222815,-14,0,0,0,0,0,0,0,0,0,0.5,1,0,57243.98995,0.260697075,0.002217829,1,0,,,,,,,,,9650013123.427048,0,,5790007874.056229,5790007874.056229,,9650013123.427048,5790007874.056229,0,5790007874.056229,
,55920.41709,19306.82412,7248.155779,4077.251256,3151.40201,2684.60804,2338.045226,2038.376884,1784.673367,1563.316583,1373.567839,1210.20603,9143.98995,0.209604211,0.419208462,0.007212233,-13,0,0,0,0,0,0,0,0,0,0.5,1,0,55920.41709,0.305858799,0.002631682,1,0,,,,,,,,,9558736825.69912,0,,5735242095.419472,5735242095.419472,,9558736825.69912,5735242095.419472,0,5735242095.419472,
,54296.44724,18318.82915,6961.060302,3948.844221,3082.316583,2638.407035,2301.38191,2020.221106,1771.386935,1553.492462,1363.859296,1201.733668,9134.914573,0.235392698,0.470785362,0.00816543,-12,0,0,0,0,0,0,0,0,0,0.5,1,0,54296.44724,0.35307208,0.003142521,1,0,,,,,,,,,9438928086.056164,0,,5663356851.633698,5663356851.633698,,9438928086.056164,5663356851.633698,0,5663356851.633698,
,52381.0201,17164.36683,6635.688442,3809.60804,2987.497487,2579.562814,2259.854271,1986.075377,1750.643216,1540.78392,1353.422111,1191.045226,9122.472362,0.260623628,0.521247256,0.009098605,-11,0,0,0,0,0,0,0,0,0,0.5,1,0,52381.0201,0.401762447,0.0036087,1,0,,,,,,,,,9289368886.333359,0,,5573621331.800015,5573621331.800015,,9289368886.333359,5573621331.800015,0,5573621331.800015,
,50214.8593,15920.74372,6247.472362,3631.683417,2885.070352,2499.165829,2206.663317,1949.788945,1722.673367,1522.517588,1343.798995,1182.567839,9102.713568,0.284916985,0.569833905,0.010040478,-10,0,0,0,0,0,0,0,0,0,0.5,1,0,50214.8593,0.450473106,0.004118895,1,0,,,,,,,,,9110015624.921293,0,,5466009374.952776,5466009374.952776,,9110015624.921293,5466009374.952776,0,5466009374.952776,
,47805.16583,14582.74874,5826.366834,3438.276382,2752.502513,2410.346734,2135.683417,1901.105528,1689.306533,1494.577889,1328.130653,1173.778894,9072.341709,0.307636141,0.615272307,0.010891153,-9,0,0,0,0,0,0,0,0,0,0.5,1,0,47805.16583,0.498620261,0.004566167,1,0,,,,,,,,,8893745699.705883,0,,5336247419.823529,5336247419.823529,,8893745699.705883,5336247419.823529,0,5336247419.823529,
,45225.11055,13210.03015,5375.944724,3222.773869,2610.075377,2295.81407,2057.190955,1839.482412,1642.869347,1464.964824,1300.81407,1159.919598,9045.231156,0.328651915,0.657303734,0.011719776,-8,0,0,0,0,0,0,0,0,0,0.5,1,0,45225.11055,0.544926015,0.00502781,1,0,,,,,,,,,8645105432.56493,0,,5187063259.538958,5187063259.538958,,8645105432.56493,5187063259.538958,0,5187063259.538958,
,42477.51256,11812.88945,4912.221106,2988.522613,2450.226131,2174.552764,1955.120603,1766.437186,1586.552764,1424.407035,1272.713568,1133.763819,9000.105528,0.347871432,0.695742955,0.012421877,-7,0,0,0,0,0,0,0,0,0,0.5,1,0,42477.51256,0.588594116,0.00550396,1,0,,,,,,,,,8356804636.97188,0,,5014082782.183127,5014082782.183127,,8356804636.97188,5014082782.183127,0,5014082782.183127,
,39672.96985,10459.28643,4445.095477,2758.577889,2277.180905,2040.246231,1848.346734,1672.753769,1520.582915,1370.909548,1237.738693,1107.351759,8934.899497,0.365188558,0.730377186,0.013086606,-6,0,0,0,0,0,0,0,0,0,0.5,1,0,39672.96985,0.629543221,0.00585975,1,0,,,,,,,,,8036943435.426056,0,,4822166061.255633,4822166061.255633,,8036943435.426056,4822166061.255633,0,4822166061.255633,
,36822.39698,9159.261307,3982.417085,2515.829146,2109.59799,1890.231156,1727.41206,1577.080402,1435.839196,1309.045226,1186.919598,1074.964824,8853.798995,0.380502668,0.761005271,0.013657759,-5,0,0,0,0,0,0,0,0,0,0.5,1,0,36822.39698,0.667135508,0.006228737,1,0,,,,,,,,,7685542086.220779,0,,4611325251.732468,4611325251.732468,,7685542086.220779,4611325251.732468,0,4611325251.732468,
,33988.38191,7932.512563,3547.683417,2282.356784,1929.527638,1748.683417,1595.070352,1468.964824,1349.231156,1233.045226,1128.949749,1027.19598,8745.160804,0.393916407,0.787832899,0.014127283,-4,0,0,0,0,0,0,0,0,0,0.5,1,0,33988.38191,0.700549899,0.006662879,1,0,,,,,,,,,7307484066.7479515,0,,4384490440.048771,4384490440.048771,,7307484066.7479515,4384490440.048771,0,4384490440.048771,
,31227.72864,6827.135678,3126.723618,2060.040201,1754.346734,1594.055276,1469.763819,1350.150754,1251.683417,1157.190955,1060.643216,976.5778894,8599.417085,0.405484673,0.810969387,0.014716505,-3,0,0,0,0,0,0,0,0,0,0.5,1,0,31227.72864,0.731576226,0.006990352,1,0,,,,,,,,,6909146477.658443,0,,4145487886.595066,4145487886.595066,,6909146477.658443,4145487886.595066,0,4145487886.595066,
,28561.1809,5832.522613,2753.211055,1839.241206,1586.306533,1441.959799,1336.673367,1240.326633,1144.592965,1067.824121,990.4623116,912.0301508,8416.030151,0.415584814,0.831169638,0.015198978,-2,0,0,0,0,0,0,0,0,0,0.5,1,0,28561.1809,0.758214427,0.007240695,1,0,,,,,,,,,6492765340.166122,0,,3895659204.0996733,3895659204.0996733,,6492765340.166122,3895659204.0996733,0,3895659204.0996733,
,26016.65829,4960.065327,2415.321608,1647.286432,1419.160804,1298.407035,1200.894472,1121.100503,1047.824121,969.4170854,909.6683417,848.3718593,8179.140704,0.424466814,0.848933568,0.015441833,-1,0,0,0,0,0,0,0,0,0,0.5,1,0,26016.65829,0.781566226,0.007522205,1,0,,,,,,,,,6062558014.862195,0,,3637534808.917317,3637534808.917317,,6062558014.862195,3637534808.917317,0,3637534808.917317,
,23580.86935,4180.336683,2110.18593,1467.396985,1272.296482,1157.763819,1072.879397,1000.673367,938.9346734,882.9547739,822.7537688,775.1256281,7899.567839,0.431928317,0.863856673,0.015804604,0,0,0,0,0,0,0,0,0,0,0.5,1,0,23580.86935,0.802165799,0.007708515,1,0,,,,,,,,,5625867348.684143,0,,3375520409.210486,3375520409.210486,,5625867348.684143,3375520409.210486,0,3375520409.210486,
,21287.8995,3522.055276,1834.201005,1306.824121,1132.949749,1030.0,949.0351759,888.0854271,832.5226131,786.7135678,742.241206,697.1859296,7566.085427,0.438290337,0.876580683,0.015975773,1,0,0,0,0,0,0,0,0,0,0.5,1,0,21287.8995,0.819526392,0.007784503,1,0,,,,,,,,,5185495249.258884,0,,3111297149.5553308,3111297149.5553308,,5185495249.258884,3111297149.5553308,0,3111297149.5553308,
,19141.32161,2960.366834,1602.130653,1153.105528,1006.422111,909.9849246,838.5728643,778.8492462,733.5025126,691.9045226,657.120603,623.8542714,7185.507538,0.443670266,0.887340497,0.016183756,2,0,0,0,0,0,0,0,0,0,0.5,1,0,19141.32161,0.834901623,0.007909333,1,0,,,,,,,,,4748516158.7344055,0,,2849109695.240643,2849109695.240643,,4748516158.7344055,2849109695.240643,0,2849109695.240643,
,17129.1407,2478.150754,1399.0,1025.301508,887.3417085,802.160804,735.0552764,682.8542714,636.9748744,603.0100503,572.1306533,546.798995,6760.361809,0.448365236,0.896730533,0.016435599,3,0,0,0,0,0,0,0,0,0,0.5,1,0,17129.1407,0.847374111,0.008116091,1,0,,,,,,,,,4317275187.312882,0,,2590365112.387729,2590365112.387729,,4317275187.312882,2590365112.387729,0,2590365112.387729,
,15259.92965,2071.80402,1219.919598,909.9949749,785.1356784,701.3718593,641.9145729,592.919598,554.160804,520.6582915,494.959799,472.4170854,6294.673367,0.452133477,0.904267045,0.01661916,4,0,0,0,0,0,0,0,0,0,0.5,1,0,15259.92965,0.858534307,0.008316123,1,0,,,,,,,,,3899119021.659816,0,,2339471412.995889,2339471412.995889,,3899119021.659816,2339471412.995889,0,2339471412.995889,
,13544.1206,1733.869347,1069.376884,805.678392,694.638191,615.8542714,554.3919598,512.5577889,477.0150754,448.3869347,423.201005,404.9246231,5804.226131,0.455106834,0.910213573,0.016893313,5,0,0,0,0,0,0,0,0,0,0.5,1,0,13544.1206,0.867372,0.008536988,1,0,,,,,,,,,3499277282.261595,0,,2099566369.3569567,2099566369.3569567,,3499277282.261595,2099566369.3569567,0,2099566369.3569567,
,11969.62312,1456.537688,930.7738693,715.5577889,613.2060302,540.0603015,482.4070352,438.5929648,407.1758794,381.9346734,361.7738693,343.1658291,5298.437186,0.457752884,0.915505769,0.017096772,6,0,0,0,0,0,0,0,0,0,0.5,1,0,11969.62312,0.874993101,0.008757912,1,0,,,,,,,,,3120546865.437314,0,,1872328119.2623885,1872328119.2623885,,3120546865.437314,1872328119.2623885,0,1872328119.2623885,
,10515.56281,1212.658291,816.638191,628.5929648,540.1457286,471.6482412,418.9849246,378.0904523,346.1055276,322.6934673,304.6030151,290.7437186,4784.658291,0.45975504,0.91951002,0.017453957,7,0,0,0,0,0,0,0,0,0,0.5,1,0,10515.56281,0.881307412,0.008783109,1,0,,,,,,,,,2763363326.3942842,0,,1658017995.8365705,1658017995.8365705,,2763363326.3942842,1658017995.8365705,0,1658017995.8365705,
,9211.542714,1025.899497,710.5628141,556.6482412,470.9949749,412.1306533,363.1959799,325.1809045,295.0753769,272.758794,256.0100503,243.0904523,4279.994975,0.461332869,0.922665709,0.017560687,8,0,0,0,0,0,0,0,0,0,0.5,1,0,9211.542714,0.885658216,0.008922723,1,0,,,,,,,,,2432874473.1911087,0,,1459724683.9146652,1459724683.9146652,,2432874473.1911087,1459724683.9146652,0,1459724683.9146652,
,8029.311558,865.6532663,622.9949749,486.5025126,414.281407,356.2060302,314.7386935,278.4070352,252.5125628,230.1105528,214.1306533,202.8994975,3790.874372,0.462574894,0.925149809,0.017728112,9,0,0,0,0,0,0,0,0,0,0.5,1,0,8029.311558,0.889319548,0.009007825,1,0,,,,,,,,,2128350827.4088554,0,,1277010496.4453132,1277010496.4453132,,2128350827.4088554,1277010496.4453132,0,1277010496.4453132,
